k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,73,12.1667,7.24985
1,6,73,143,11.6667,6.98807
2,12,143,212,11.5,7.01422
3,18,212,291,13.1667,8.6411
4,24,291,369,13,9.11007
5,30,369,447,13,9.36295
6,36,447,523,12.6667,9.75758
7,42,523,596,12.1667,6.89084
8,48,596,670,12.3333,6.44789
9,54,670,743,12.1667,6.62849
10,60,743,813,11.6667,6.82744
11,66,813,883,11.6667,6.98139
12,72,883,951,11.3333,6.31984
13,78,951,1023,12,6.67581
14,84,1023,1096,12.1667,7.39338
15,90,1096,1168,12,8.19266
16,96,1168,1241,12.1667,7.60037
17,102,1241,1315,12.3333,6.82171
18,108,1315,1389,12.3333,7.05425
19,114,1389,1461,12,7.65479
20,120,1461,1533,12,7.89441
21,126,1533,1605,12,7.19795
22,132,1605,1679,12.3333,7.30964
23,138,1679,1753,12.3333,6.86641
24,144,1753,1826,12.1667,6.93723
25,150,1826,1901,12.5,6.95423
26,156,1901,1974,12.1667,6.46267
27,162,1974,2048,12.3333,6.85915
28,168,2048,2122,12.3333,7.26319
29,174,2122,2195,12.1667,7.18285
30,180,2195,2265,11.6667,7.07154
31,186,2265,2336,11.8333,7.29833
32,192,2336,2406,11.6667,7.0882
33,198,2406,2480,12.3333,7.2801
34,204,2480,2554,12.3333,7.08547
35,210,2554,2626,12,7.22682
36,216,2626,2697,11.8333,7.67243
37,222,2697,2767,11.6667,8.39657
38,228,2767,2837,11.6667,8.12508
39,234,2837,2908,11.8333,8.12831
40,240,2908,2980,12,7.71232
41,246,2980,3053,12.1667,7.34708
42,252,3053,3127,12.3333,7.14995
43,258,3127,3200,12.1667,7.51317
44,264,3200,3273,12.1667,7.59274
45,270,3273,3346,12.1667,7.53317
46,276,3346,3394,12,4.88449
