k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2184,168,2184,0,0,11.6588,,,6.94553,0.553409
1,2190,162,2190,0,69.9528,12.4916,12.4916,0,7.52737,0.43174
2,2196,156,2196,0,144.902,11.6588,11.6588,0,6.31107,0.373841
3,2202,150,2202,0,214.855,11.0241,11.0241,0,5.3024,0.348265
4,2208,144,2208,0,281,11.6667,12.5,-0.833333,6.62612,0.310736
5,2214,138,2214,0,351,11.8333,11.8333,0,7.71351,0.287182
6,2220,132,2220,0,422,12.3333,12.3333,0,6.58057,0.253211
7,2226,126,2226,0,496,11.3333,11.1667,0.166667,6.04804,0.278331
8,2232,120,2232,0,564,12,12,0,7.25548,0.202941
9,2238,114,2238,0,636,11.5,11,0.5,6.02447,0.180072
10,2244,108,2244,0,705,11,11,0,5.84411,0.156896
11,2250,102,2250,0,771,11.8333,11.8333,0,7.04542,0.136394
12,2256,96,2256,0,842,12.3333,12.3333,0,6.93937,0.122601
13,2262,90,2262,0,916,13.3333,12.5,0.833333,8.04292,0.113573
14,2268,84,2268,0,996,11.5,11.5,0,7.40412,0.0887327
15,2274,78,2274,0,1065,11.6667,12.5,-0.833333,7.31668,0.0785633
16,2280,72,2280,0,1135,11,10.8333,0.166667,6.75551,0.0585493
17,2286,66,2286,0,1201,11.4908,10.658,0.832772,6.83368,0.0515598
18,2292,60,2292,0,1269.94,12.3164,11.3425,0.973881,8.47766,0.0421577
19,2298,54,2298,0,1343.84,9.99326,9.99326,0,5.18827,0.0357521
20,2304,48,2304,0,1403.8,9.99326,9.99326,0,4.98736,0.0260905
21,2310,42,2310,0,1463.76,10.2063,10.826,-0.619776,4.78596,0.0207606
22,2316,36,2316,0,1525,10.8333,10.8333,0,6.05674,0.015584
23,2322,30,2322,0,1590,12.3333,12.3333,0,7.94308,0.00834096
24,2328,24,2328,0,1664,11.6667,11.6667,0,6.60419,0.00447908
25,2334,18,2334,0,1734,11.8333,12,-0.166667,7.5161,0.00183946
26,2340,12,2340,0,1805,13.5,12.3333,1.16667,9.16761,0.000835333
27,2346,6,2346,0,1886,11.339,11.339,0,7.94896,0.000256583
