k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69.9528,11.6588,6.94553
1,6,69.9528,144.902,12.4916,7.52737
2,12,144.902,214.855,11.6588,6.31107
3,18,214.855,281,11.0241,5.3024
4,24,281,351,11.6667,6.62612
5,30,351,422,11.8333,7.71351
6,36,422,496,12.3333,6.58057
7,42,496,564,11.3333,6.04804
8,48,564,636,12,7.25548
9,54,636,705,11.5,6.02447
10,60,705,771,11,5.84411
11,66,771,842,11.8333,7.04542
12,72,842,916,12.3333,6.93937
13,78,916,996,13.3333,8.04292
14,84,996,1065,11.5,7.40412
15,90,1065,1135,11.6667,7.31668
16,96,1135,1201,11,6.75551
17,102,1201,1269.94,11.4908,6.83368
18,108,1269.94,1343.84,12.3164,8.47766
19,114,1343.84,1403.8,9.99326,5.18827
20,120,1403.8,1463.76,9.99326,4.98736
21,126,1463.76,1525,10.2063,4.78596
22,132,1525,1590,10.8333,6.05674
23,138,1590,1664,12.3333,7.94308
24,144,1664,1734,11.6667,6.60419
25,150,1734,1805,11.8333,7.5161
26,156,1805,1886,13.5,9.16761
27,162,1886,1954.03,11.339,7.94896
