k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,7.1953
1,6,72,139,11.1667,7.83775
2,12,139,217,13,10.3756
3,18,217,290,12.1667,6.86087
4,24,290,363,12.1667,7.32338
5,30,363,439,12.6667,7.95467
6,36,439,516.276,12.8793,8.53079
7,42,516.276,594,12.954,7.32584
8,48,594,669,12.5,7.42991
9,54,669,743,12.3333,7.29994
10,60,743,815,12,6.96374
11,66,815,887,12,6.37469
12,72,887,961,12.3333,7.18605
13,78,961,1035,12.3333,7.86584
14,84,1035,1107,12,8.08858
15,90,1107,1182,12.5,7.12411
16,96,1182,1253.93,11.989,6.76088
17,102,1253.93,1328,12.3443,7.57804
18,108,1328,1402,12.3333,7.48545
19,114,1402,1475,12.1667,7.03236
20,120,1475,1547,12,6.76186
21,126,1547,1617,11.6667,6.76677
22,132,1617,1687,11.6667,7.32609
23,138,1687,1759,12,7.35489
24,144,1759,1830,11.8333,7.04528
25,150,1830,1903,12.1667,7.03824
26,156,1903,1973,11.6667,6.64204
27,162,1973,2047,12.3333,6.83559
28,168,2047,2116,11.5,5.41093
29,174,2116,2188,12,7.53192
30,180,2188,2260,12,7.4799
31,186,2260,2331,11.8333,7.0352
32,192,2331,2401,11.6667,6.89675
33,198,2401,2471,11.6667,7.43117
34,204,2471,2541,11.6667,7.27863
35,210,2541,2613.81,12.1356,7.93308
36,216,2613.81,2689,12.5311,7.582
37,222,2689,2764,12.5,6.87299
38,228,2764,2833,11.5,5.7921
39,234,2833,2904,11.8333,6.20149
40,240,2904,2974,11.6667,5.76181
41,246,2974,3049,12.5,7.87287
42,252,3049,3120,11.8333,7.7471
43,258,3120,3190,11.6667,6.56027
44,264,3190,3266,12.6667,9.21998
45,270,3266,3341,12.5,8.28071
46,276,3341,3393.24,13.06,6.29636
