k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,73,12.1667,8.29223
1,6,73,147,12.3333,7.82822
2,12,147,220,12.1667,7.87142
3,18,220,292,12,7.07471
4,24,292,364,12,6.70514
5,30,364,437,12.1667,7.56633
6,36,437,510,12.1667,7.31513
7,42,510,581,11.8333,7.46722
8,48,581,654,12.1667,7.15182
9,54,654,727,12.1667,7.59212
10,60,727,798,11.8333,7.84186
11,66,798,870,12,7.69174
12,72,870,940,11.6667,7.61561
13,78,940,1010,11.6667,7.73048
14,84,1010,1082,12,7.99466
15,90,1082,1156,12.3333,7.50564
16,96,1156,1228,12,7.08317
17,102,1228,1300,12,6.89188
18,108,1300,1372,12,6.42889
19,114,1372,1445,12.1667,6.87965
20,120,1445,1519,12.3333,7.72537
21,126,1519,1593,12.3333,7.86391
22,132,1593,1668,12.5,7.53791
23,138,1668,1741,12.1667,7.65245
24,144,1741,1814,12.1667,7.21618
25,150,1814,1888,12.3333,7.79861
26,156,1888,1962,12.3333,8.3288
27,162,1962,2037,12.5,7.64897
28,168,2037,2112,12.5,7.81929
29,174,2112,2185,12.1667,9.03846
30,180,2185,2259,12.3333,8.78041
31,186,2259,2334,12.5,8.98327
32,192,2334,2406,12,8.17691
33,198,2406,2479,12.1667,8.15845
34,204,2479,2553,12.3333,8.04556
35,210,2553,2624,11.8333,7.39543
36,216,2624,2696,12,7.83298
37,222,2696,2768,12,8.09109
38,228,2768,2839,11.8333,8.17103
39,234,2839,2911,12,7.85555
40,240,2911,2983,12,7.58458
41,246,2983,3053,11.6667,7.41955
42,252,3053,3126,12.1667,8.55515
43,258,3126,3199,12.1667,7.82852
44,264,3199,3272,12.1667,7.84255
45,270,3272,3345,12.1667,7.64644
46,276,3345,3394,12.25,5.19716
