k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,68,11.3333,6.80005
1,6,68,139,11.8333,6.96209
2,12,139,209,11.6667,6.88754
3,18,209,279,11.6667,6.53122
4,24,279,348,11.5,5.87014
5,30,348,411,10.5,4.43528
6,36,411,473,10.3333,4.26895
7,42,473,543,11.6667,6.75233
8,48,543,613,11.6667,6.55808
9,54,613,682,11.5,6.42656
10,60,682,750,11.3333,6.30631
11,66,750,819,11.5,6.84463
12,72,819,888,11.5,6.88665
13,78,888,958,11.6667,7.58927
14,84,958,1034,12.6667,9.36139
15,90,1034,1107.49,12.2486,8.277
16,96,1107.49,1182,12.4181,7.93359
17,102,1182,1258,12.6667,7.67062
18,108,1258,1332,12.3333,6.90914
19,114,1332,1413,13.5,8.77404
20,120,1413,1488,12.5,7.23991
21,126,1488,1564,12.6667,7.94697
22,132,1564,1638,12.3333,7.44401
23,138,1638,1710,12,6.26901
24,144,1710,1780,11.6667,6.37992
25,150,1780,1851,11.8333,6.77169
26,156,1851,1923,12,6.60732
27,162,1923,1991,11.3333,5.87461
28,168,1991,2061,11.6667,6.24286
29,174,2061,2136,12.5,7.82723
30,180,2136,2215,13.1667,9.72527
31,186,2215,2294,13.1667,10.4107
32,192,2294,2370,12.6667,9.36929
33,198,2370,2447,12.8333,9.894
34,204,2447,2520,12.1667,7.70304
35,210,2520,2597,12.8333,8.90322
36,216,2597,2670.54,12.2567,8.79349
37,222,2670.54,2745,12.41,8.56328
38,228,2745,2823,13,9.98675
39,234,2823,2901,13,9.96575
40,240,2901,2977,12.6667,8.99295
41,246,2977,3052,12.5,8.94689
42,252,3052,3129,12.8333,9.91211
43,258,3129,3204,12.5,8.41972
44,264,3204,3274,11.6667,7.24989
45,270,3274,3346,12,7.3368
46,276,3346,3393.55,11.8872,4.74941
