k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,68,11.3333,6.10166
1,6,68,143,12.5,8.26641
2,12,143,219,12.6667,7.47124
3,18,219,295,12.6667,8.46412
4,24,295,368,12.1667,7.63107
5,30,368,440,12,7.25702
6,36,440,510,11.6667,6.41029
7,42,510,577,11.1667,5.90703
8,48,577,646,11.5,6.51258
9,54,646,714,11.3333,6.38035
10,60,714,787,12.1667,6.8624
11,66,787,860,12.1667,7.37005
12,72,860,933,12.1667,6.91526
13,78,933,1006,12.1667,7.26865
14,84,1006,1079,12.1667,7.3949
15,90,1079,1150,11.8333,7.02269
16,96,1150,1224,12.3333,6.60731
17,102,1224,1293,11.5,6.25078
18,108,1293,1359,11,5.66525
19,114,1359,1426,11.1667,5.95478
20,120,1426,1492,11,5.45623
21,126,1492,1559,11.1667,5.25873
22,132,1559,1625,11,5.68528
23,138,1625,1689,10.6667,5.41762
24,144,1689,1757,11.3333,6.77212
25,150,1757,1820,10.5,6.77156
26,156,1820,1887,11.1667,5.67217
27,162,1887,1954,11.1667,6.2902
