k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,7.23465
1,6,69,138,11.5,6.91101
2,12,138,215,12.8333,9.03578
3,18,215,289,12.3333,9.41732
4,24,289,358,11.5,7.39323
5,30,358,428,11.6667,7.98047
6,36,428,495,11.1667,6.79173
7,42,495,566,11.8333,7.18647
8,48,566,639,12.1667,7.95797
9,54,639,709,11.6667,7.11561
10,60,709,778,11.5,6.69452
11,66,778,847,11.5,6.96957
12,72,847,916,11.5,6.23128
13,78,916,986,11.6667,6.41952
14,84,986,1057,11.8333,6.71822
15,90,1057,1126,11.5,6.35172
16,96,1126,1200,12.3333,8.24484
17,102,1200,1270,11.6667,7.65583
18,108,1270,1338,11.3333,6.831
19,114,1338,1402,10.6667,7.14231
20,120,1402,1467,10.8333,7.20495
21,126,1467,1536,11.5,6.70194
22,132,1536,1608,12,6.8471
23,138,1608,1681,12.1667,7.59869
24,144,1681,1749,11.3333,6.76139
25,150,1749,1820,11.8333,6.03445
26,156,1820,1887,11.1667,6.62355
27,162,1887,1954,11.1667,5.72424
