k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1512,168,1512,0,0,12,,,7.87523,0.626289
1,1518,162,1518,0,72,12.3333,12.3333,0,8.45634,0.444922
2,1524,156,1524,0,146,12.5,12.5,0,7.89565,0.37737
3,1530,150,1530,0,221,10,10,0,4.21123,0.338542
4,1536,144,1536,0,281,9.66667,11.6667,-2,4.2671,0.308968
5,1542,138,1542,0,339,10,9.66667,0.333333,4.83486,0.291581
6,1548,132,1548,0,399,12.3333,10,2.33333,9.58734,0.258211
7,1554,126,1554,0,473,10.5473,10.5473,0,7.51028,0.241781
8,1560,120,1560,0,536.284,12.4527,12.4527,0,8.71516,0.219528
9,1566,114,1566,0,611,11.8333,11,0.833333,5.95704,0.1818
10,1572,108,1572,0,682,10.6667,10.6667,0,4.9612,0.165508
11,1578,102,1578,0,746,11.3333,11.3333,0,5.66406,0.140232
12,1584,96,1584,0,814,11.1667,11.1667,0,5.10614,0.137243
13,1590,90,1590,0,881,12.5,12.5,0,7.20006,0.128161
14,1596,84,1596,0,956,12.3333,12.8333,-0.5,6.77777,0.0925148
15,1602,78,1602,0,1030,12.5,11.6667,0.833333,7.88853,0.0841069
16,1608,72,1608,0,1105,11.8333,12.3333,-0.5,7.84126,0.0627207
17,1614,66,1614,0,1176,12,12.3264,-0.326373,8.43097,0.0548955
18,1620,60,1620,0,1248,11.6667,11.6667,0,8.14674,0.048371
19,1626,54,1626,0,1318,11.8022,10.9694,0.832772,8.95665,0.0360811
20,1632,48,1632,0,1388.81,10.826,10.826,0,7.04102,0.0301678
21,1638,42,1638,0,1453.77,11.6588,11.6588,0,6.42505,0.0223853
22,1644,36,1644,0,1523.72,10.713,11.5463,-0.833333,4.78317,0.0162007
23,1650,30,1650,0,1588,11,13.5,-2.5,5.5604,0.00837721
24,1656,24,1656,0,1654,12.5,12.5,0,8.69488,0.00467383
25,1662,18,1662,0,1729,12.3333,12.3333,0,9.13816,0.00261846
26,1668,12,1668,0,1803,12.8333,12.8333,0,7.85594,0.00105121
27,1674,6,1674,0,1880,12.339,12.339,0,8.88873,0.000255084
