k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,7.87523
1,6,72,146,12.3333,8.45634
2,12,146,221,12.5,7.89565
3,18,221,281,10,4.21123
4,24,281,339,9.66667,4.2671
5,30,339,399,10,4.83486
6,36,399,473,12.3333,9.58734
7,42,473,536.284,10.5473,7.51028
8,48,536.284,611,12.4527,8.71516
9,54,611,682,11.8333,5.95704
10,60,682,746,10.6667,4.9612
11,66,746,814,11.3333,5.66406
12,72,814,881,11.1667,5.10614
13,78,881,956,12.5,7.20006
14,84,956,1030,12.3333,6.77777
15,90,1030,1105,12.5,7.88853
16,96,1105,1176,11.8333,7.84126
17,102,1176,1248,12,8.43097
18,108,1248,1318,11.6667,8.14674
19,114,1318,1388.81,11.8022,8.95665
20,120,1388.81,1453.77,10.826,7.04102
21,126,1453.77,1523.72,11.6588,6.42505
22,132,1523.72,1588,10.713,4.78317
23,138,1588,1654,11,5.5604
24,144,1654,1729,12.5,8.69488
25,150,1729,1803,12.3333,9.13816
26,156,1803,1880,12.8333,7.85594
27,162,1880,1954.03,12.339,8.88873
