k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,71,11.8333,6.96944
1,6,71,134,10.5,6.68914
2,12,134,204,11.6667,8.1184
3,18,204,276,12,8.44255
4,24,276,347,11.8333,7.29192
5,30,347,417,11.6667,8.59067
6,36,417,489,12,8.05413
7,42,489,562,12.1667,7.29837
8,48,562,633,11.8333,7.47308
9,54,633,703,11.6667,7.18829
10,60,703,779,12.6667,7.68889
11,66,779,854,12.5,7.87116
12,72,854,930,12.6667,7.41441
13,78,930,1004,12.3333,7.95289
14,84,1004,1075,11.8333,7.02064
15,90,1075,1146,11.8333,7.48119
16,96,1146,1213,11.1667,7.92178
17,102,1213,1276,10.5,5.91513
18,108,1276,1343,11.1667,7.09568
19,114,1343,1410,11.1667,6.43535
20,120,1410,1478,11.3333,6.72896
21,126,1478,1546,11.3333,6.70649
22,132,1546,1611,10.8333,5.91561
23,138,1611,1677,11,5.98153
24,144,1677,1743,11,6.37467
25,150,1743,1811,11.3333,7.07402
26,156,1811,1882,11.8333,7.21061
27,162,1882,1955,12.1667,8.51155
