k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,64,10.6667,5.72014
1,6,64,134,11.6667,6.65105
2,12,134,199,10.8333,5.15483
3,18,199,262,10.5,4.86395
4,24,262,328,11,5.16851
5,30,328,392,10.6667,4.99369
6,36,392,458,11,5.33116
7,42,458,534,12.6667,8.57144
8,48,534,607,12.1667,7.39375
9,54,607,681,12.3333,7.47186
10,60,681,753,12,7.61114
11,66,753,832,13.1667,10.2302
12,72,832,908,12.6667,8.62367
13,78,908,976,11.3333,7.05332
14,84,976,1042,11,6.78542
15,90,1042,1110,11.3333,6.49026
16,96,1110,1179,11.5,6.3132
17,102,1179,1254,12.5,7.36368
18,108,1254,1328,12.3333,6.88288
19,114,1328,1402,12.3333,6.5792
20,120,1402,1475,12.1667,6.64809
21,126,1475,1555,13.3333,9.29444
22,132,1555,1634,13.1667,8.89433
23,138,1634,1714,13.3333,9.31016
24,144,1714,1792,13,8.82904
25,150,1792,1866,12.3333,7.61888
26,156,1866,1940,12.3333,8.29439
27,162,1940,2016,12.6667,8.03125
28,168,2016,2091,12.5,7.73613
29,174,2091,2168,12.8333,8.3062
30,180,2168,2241,12.1667,8.54318
31,186,2241,2314,12.1667,8.35986
32,192,2314,2384,11.6667,7.60675
33,198,2384,2454,11.6667,7.68272
34,204,2454,2523,11.5,6.50151
35,210,2523,2595,12,7.37378
36,216,2595,2665,11.6667,7.92523
37,222,2665,2734,11.5,6.9308
38,228,2734,2814,13.3333,10.7169
39,234,2814,2895,13.5,11.1511
40,240,2895,2974,13.1667,10.121
41,246,2974,3047,12.1667,7.3368
42,252,3047,3120,12.1667,8.55321
43,258,3120,3190,11.6667,7.07835
44,264,3190,3266,12.6667,9.21998
45,270,3266,3341,12.5,8.84227
46,276,3341,3393.24,13.06,6.69914
