k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1008,168,1008,0,0,9.5,,,4.11059,0.140005
1,1014,162,1014,0,57,10,10,0,4.37387,0.127112
2,1020,156,1020,0,117,11.8333,10.1667,1.66667,6.16573,0.102178
3,1026,150,1026,0,188,10,11.6667,-1.66667,4.17758,0.0853513
4,1032,144,1032,0,248,12.8333,9.33333,3.5,9.30277,0.0734043
5,1038,138,1038,0,325,12.1667,12.5,-0.333333,8.17205,0.0645612
6,1044,132,1044,0,398,12,12,0,7.86246,0.062414
7,1050,126,1050,0,470,12.8333,12.8333,0,8.72875,0.0557736
8,1056,120,1056,0,547,10.6667,10.6667,0,5.0846,0.0550494
9,1062,114,1062,0,611,12.1667,10.3333,1.83333,7.63265,0.0504503
10,1068,108,1068,0,684,11.1667,11.1667,0,6.40486,0.0443956
11,1074,102,1074,0,751,11,11,0,7.10438,0.0364124
12,1080,96,1080,0,817,11.3333,11.3333,0,8.67961,0.0313484
13,1086,90,1086,0,885,11.3333,11.1667,0.166667,7.87639,0.0278407
14,1092,84,1092,0,953,12.3333,12.3333,0,11.5289,0.0239718
15,1098,78,1098,0,1027,13.6667,13.6667,0,15.7558,0.0202519
16,1104,72,1104,0,1109,14,12.5,1.5,15.6383,0.0185226
17,1110,66,1110,0,1193,13,13.8333,-0.833333,14.6619,0.0152148
18,1116,60,1116,0,1271,12.3333,12.1667,0.166667,12.0861,0.0119565
19,1122,54,1122,0,1345,12.5,11.3333,1.16667,12.8018,0.0113001
20,1128,48,1128,0,1420,10.8333,11.4402,-0.606842,7.66623,0.00807108
21,1134,42,1134,0,1485,11.3333,11.1667,0.166667,6.95474,0.00591846
22,1140,36,1140,0,1553,11.1667,10.6667,0.5,6.51795,0.00408637
23,1146,30,1146,0,1620,11.3333,11.3333,0,6.53876,0.00281738
24,1152,24,1152,0,1688,11,11,0,6.03114,0.00148196
25,1158,18,1158,0,1754,11.4129,11.8333,-0.420455,6.68917,0.00096075
26,1164,12,1164,0,1822.48,10.9205,10.9205,0,5.75413,0.000441209
27,1170,6,1170,0,1888,11.1165,11.1165,-2.35332e-11,6.23119,9.5458e-05
