k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,66,11,6.30818
1,6,66,137,11.8333,7.31214
2,12,137,206,11.5,5.49856
3,18,206,267,10.1667,4.5266
4,24,267,340,12.1667,8.00766
5,30,340,403,10.5,5.9885
6,36,403,463,10,4.61847
7,42,463,526,10.5,5.55214
8,48,526,592,11,5.75998
9,54,592,658,11,5.92293
10,60,658,724,11,6.15616
11,66,724,789,10.8333,6.71944
12,72,789,853,10.6667,7.86606
13,78,853,920,11.1667,8.40971
14,84,920,992,12,10.1952
15,90,992,1076,14,16.8095
16,96,1076,1162,14.3333,16.717
17,102,1162,1245,13.8333,16.6555
18,108,1245,1326,13.5,14.7563
19,114,1326,1410,14,16.3469
20,120,1410,1479,11.5,8.84755
21,126,1479,1549,11.6667,7.51393
22,132,1549,1617,11.3333,6.78342
23,138,1617,1685,11.3333,6.55695
24,144,1685,1752,11.1667,6.26255
25,150,1752,1819,11.1667,6.26405
26,156,1819,1885,11,5.86224
27,162,1885,1955,11.6667,7.10941
