k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,6,280,6,0,0,12,,,7.95553,15.7932
1,12,274,6,6,72,12,11.8333,0.166667,7.21396,14.9767
2,18,268,6,12,144,11.6667,12.8333,-1.16667,6.98566,14.3573
3,24,262,24,0,214,11.8333,11.8333,0,6.88435,13.736
4,30,256,30,0,285,11.5,11.5,0,5.9205,13.5468
5,36,250,36,0,354,12.3333,12.3333,0,7.88429,12.7554
6,42,244,36,6,428,12.1667,12.3333,-0.166667,7.06604,12.265
7,48,238,48,0,501,12,11.6667,0.333333,7.7076,11.725
8,54,232,48,6,573,12.1667,12,0.166667,7.16527,11.0603
9,60,226,60,0,646,12,12,0,7.1081,10.7759
10,66,220,66,0,718,11.6667,11.8333,-0.166667,7.52947,9.75216
11,72,214,72,0,788,12,12,0,7.77371,20.4344
12,78,208,78,0,860,11.8333,11.8333,0,8.05979,68.3352
13,84,202,78,6,931,11.8333,11.8333,0,8.08857,1029.81
14,90,196,90,0,1002,11.8333,11.6667,0.166667,7.76474,1085.2
15,96,190,90,6,1073,12,11.8333,0.166667,7.02694,17.2128
16,102,184,102,0,1145,12,12,0,6.98337,94.6423
17,108,178,108,0,1217,12,12,0,6.91299,5.87867
18,114,172,114,0,1289,12.1667,12.1667,0,6.60193,5.53998
19,120,166,120,0,1362,12,12,0,6.44268,5.26589
20,126,160,126,0,1434,11.8333,11.8333,0,7.10634,4.84591
21,132,154,132,0,1505,12.3333,12.1667,0.166667,7.58549,4.49068
22,138,148,138,0,1579,12.5,12.5,0,7.43414,4.16648
23,144,142,138,6,1654,12,12,0,7.23151,3.96526
24,150,136,150,0,1726,12,12.1667,-0.166667,6.91621,3.53288
25,156,130,156,0,1798,12.5,12,0.5,8.28394,3.30164
26,162,124,162,0,1873,12.5,12.3333,0.166667,8.62478,2.93211
27,168,118,168,0,1948,13,13,0,8.67344,2.79084
28,174,112,174,0,2026,12.6667,13,-0.333333,8.25912,2.45717
29,180,106,180,0,2102,12,12.5,-0.5,8.52709,2.21108
30,186,100,180,6,2174,12.3333,12.3333,0,8.76827,2.04036
31,192,94,180,12,2248,12.8333,12,0.833333,9.6671,1.7762
32,198,88,180,18,2325,12.1667,12.1667,0,8.57345,1.53617
33,204,82,180,24,2398,12.3333,12.1667,0.166667,8.80015,1.36162
34,210,76,180,30,2472,12.3333,11.8333,0.5,7.99882,1.20098
35,216,70,180,36,2546,12,11.3333,0.666667,7.6764,0.975379
36,222,64,222,0,2618,11.6667,12,-0.333333,7.55607,0.816677
37,228,58,228,0,2688,11.8333,11.8333,0,7.71249,0.661238
38,234,52,234,0,2759,11.8333,11.8333,0,8.01693,0.523853
39,240,46,240,0,2830,12,12,0,7.93048,0.431012
40,246,40,246,0,2902,11.8333,11.8333,0,7.39796,0.322028
41,252,34,252,0,2973,11.8333,11.8333,0,7.62326,0.21366
42,258,28,258,0,3044,12.1667,12.1667,0,8.55625,0.158684
43,264,22,264,0,3117,12.1667,12.1667,0,7.99548,0.0862867
44,270,16,270,0,3190,12.6667,12.6667,0,9.14085,0.0340633
45,276,10,276,0,3266,12.6667,12.6667,0,9.19266,0.00716729
46,282,4,282,0,3342,12.75,12.75,0,6.24093,0.000135584
