k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,6,280,6,0,0,12,,,7.95553,15.2161
1,12,274,6,6,72,12,11.8333,0.166667,7.21396,430.066
2,18,268,6,12,144,11.6667,12.8333,-1.16667,6.98566,13.659
3,24,262,24,0,214,11.8333,11.8333,0,6.88435,13.3316
4,30,256,30,0,285,11.5,11.5,0,5.9205,12.5876
5,36,250,36,0,354,12.3333,12.3333,0,7.88429,11.989
6,42,244,36,6,428,12.1667,12.3333,-0.166667,7.06604,11.4723
7,48,238,48,0,501,12,11.6667,0.333333,7.7076,11.0139
8,54,232,48,6,573,12.1667,12,0.166667,7.16527,10.4531
9,60,226,60,0,646,12,12,0,7.1081,10.0617
10,66,220,66,0,718,11.6667,11.8333,-0.166667,7.52947,9.38214
11,72,214,72,0,788,12,12,0,7.77371,8.87374
12,78,208,78,0,860,11.8333,11.8333,0,8.05979,8.63079
13,84,202,78,6,931,11.8333,11.8333,0,8.08857,8.01875
14,90,196,90,0,1002,11.8333,11.6667,0.166667,7.76474,7.26957
15,96,190,90,6,1073,12,11.8333,0.166667,7.02694,6.77547
16,102,184,102,0,1145,12,12,0,6.98337,6.41051
17,108,178,108,0,1217,12,12,0,6.91299,6.03332
18,114,172,114,0,1289,12.1667,12.1667,0,6.60193,5.71681
19,120,166,120,0,1362,12,12,0,6.44268,5.50402
20,126,160,126,0,1434,11.8333,11.8333,0,7.10634,5.09569
21,132,154,132,0,1505,12.3333,12.1667,0.166667,7.58549,4.54419
22,138,148,138,0,1579,12.5,12.5,0,7.43414,4.05754
23,144,142,138,6,1654,12,12,0,7.23151,4.03468
24,150,136,150,0,1726,12,12.1667,-0.166667,6.91621,3.45572
25,156,130,156,0,1798,12.5,12,0.5,8.28394,3.36216
26,162,124,162,0,1873,12.5,12.3333,0.166667,8.62478,2.84791
27,168,118,168,0,1948,13,13,0,8.67344,2.8696
28,174,112,174,0,2026,12.6667,13,-0.333333,8.25912,2.40811
29,180,106,180,0,2102,12,12.5,-0.5,8.52709,2.07884
30,186,100,180,6,2174,12.3333,12.3333,0,8.76827,2.05571
31,192,94,180,12,2248,12.8333,12,0.833333,9.6671,1.7719
32,198,88,180,18,2325,12.1667,12.1667,0,8.57345,1.44107
33,204,82,180,24,2398,12.3333,12.1667,0.166667,8.80015,1.26051
34,210,76,180,30,2472,12.3333,11.8333,0.5,7.99882,1.10205
35,216,70,180,36,2546,12,11.3333,0.666667,7.6764,0.956526
36,222,64,222,0,2618,11.6667,12,-0.333333,7.55607,0.843618
37,228,58,228,0,2688,11.8333,11.8333,0,7.71249,0.697852
38,234,52,234,0,2759,11.8333,11.8333,0,8.01693,0.570436
39,240,46,240,0,2830,12,12,0,7.93048,0.4027
40,246,40,246,0,2902,11.8333,11.8333,0,7.39796,0.469428
41,252,34,252,0,2973,11.8333,11.8333,0,7.62326,0.211515
42,258,28,258,0,3044,12.1667,12.1667,0,8.55625,0.139523
43,264,22,264,0,3117,12.1667,12.1667,0,7.99548,0.0762252
44,270,16,270,0,3190,12.6667,12.6667,0,9.14085,0.0328919
45,276,10,276,0,3266,12.6667,12.6667,0,9.19266,0.00637383
46,282,4,282,0,3342,12.75,12.75,0,6.24093,0.000128042
