k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,3696,168,3696,0,0,9.99326,,,4.72206,0.440481
1,3702,162,3702,0,59.9596,12.4916,9.99326,2.49832,8.72293,0.420007
2,3708,156,3708,0,134.909,10.1818,12.4916,-2.30975,4.5397,0.362964
3,3714,150,3714,0,196,12.5017,10,2.5017,8.93652,0.323233
4,3720,144,3720,0,271.01,10.826,12.4916,-1.66554,6.84967,0.294261
5,3726,138,3726,0,335.966,9.99326,9.99326,0,6.60628,0.268842
6,3732,132,3732,0,395.926,10.826,10.179,0.647032,8.06343,0.247683
7,3738,126,3738,0,460.882,11.6863,11.6863,0,10.6216,0.229571
8,3744,120,3744,0,531,11.8333,11.6667,0.166667,8.85748,0.207214
9,3750,114,3750,0,602,12.3649,12.3649,0,10.8958,0.18179
10,3756,108,3756,0,676.189,12.4684,12.4684,0,9.85551,0.153239
11,3762,102,3762,0,751,11.8333,11.8333,0,7.87639,0.130241
12,3768,96,3768,0,822,12.3333,12.3712,-0.0379005,8.05706,0.116952
13,3774,90,3774,0,896,10.8333,12.5,-1.66667,4.91465,0.104564
14,3780,84,3780,0,961,11.6667,11.8333,-0.166667,5.84962,0.116123
15,3786,78,3786,0,1031,10.6667,10.6667,0,4.68454,0.0736643
16,3792,72,3792,0,1095,12.5,12.5,0,7.61888,0.0636992
17,3798,66,3798,0,1170,11.6667,11.6667,0,6.69218,0.056407
18,3804,60,3804,0,1240,12.4857,12.4857,0,7.99182,0.0441505
19,3810,54,3810,0,1314.91,12.3164,12.3164,0,7.89256,0.035142
20,3816,48,3816,0,1388.81,12.4916,12.4916,0,7.92185,0.0279625
21,3822,42,3822,0,1463.76,10.826,10.826,0,6.16924,0.0217078
22,3828,36,3828,0,1528.72,12.2136,9.99326,2.22029,7.64812,0.0158956
23,3834,30,3834,0,1602,10.3333,10.3333,0,4.79113,0.00965233
24,3840,24,3840,0,1664,11.6667,11.6667,0,6.29321,0.00395138
25,3846,18,3846,0,1734,12,12,0,7.394,0.00188071
26,3852,12,3852,0,1806,12.3333,12.629,-0.295641,8.61521,0.000775875
27,3858,6,3858,0,1880,12.339,12.339,0,7.34906,0.0002205
