k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,59.9596,9.99326,4.72206
1,6,59.9596,134.909,12.4916,8.72293
2,12,134.909,196,10.1818,4.5397
3,18,196,271.01,12.5017,8.93652
4,24,271.01,335.966,10.826,6.84967
5,30,335.966,395.926,9.99326,6.60628
6,36,395.926,460.882,10.826,8.06343
7,42,460.882,531,11.6863,10.6216
8,48,531,602,11.8333,8.85748
9,54,602,676.189,12.3649,10.8958
10,60,676.189,751,12.4684,9.85551
11,66,751,822,11.8333,7.87639
12,72,822,896,12.3333,8.05706
13,78,896,961,10.8333,4.91465
14,84,961,1031,11.6667,5.84962
15,90,1031,1095,10.6667,4.68454
16,96,1095,1170,12.5,7.61888
17,102,1170,1240,11.6667,6.69218
18,108,1240,1314.91,12.4857,7.99182
19,114,1314.91,1388.81,12.3164,7.89256
20,120,1388.81,1463.76,12.4916,7.92185
21,126,1463.76,1528.72,10.826,6.16924
22,132,1528.72,1602,12.2136,7.64812
23,138,1602,1664,10.3333,4.79113
24,144,1664,1734,11.6667,6.29321
25,150,1734,1806,12,7.394
26,156,1806,1880,12.3333,8.61521
27,162,1880,1954.03,12.339,7.34906
