k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2526,280,2526,0,0,12.4916,,,7.46721,0.224224
1,2532,274,2532,0,74.9495,12.6751,13.1751,-0.5,7.92137,0.18642
2,2538,268,2538,0,151,12,12,0,7.35413,0.178928
3,2544,262,2544,0,223,12.5,12.5,0,8.46025,0.169016
4,2550,256,2550,0,298,13,13.6667,-0.666667,9.3851,0.15842
5,2556,250,2556,0,376,12.5,12.5,0,9.78799,0.162292
6,2562,244,2562,0,451,13.3069,12.1667,1.14021,10.3863,0.147042
7,2568,238,2568,0,530.841,11.8598,12.0265,-0.166667,9.23891,0.138133
8,2574,232,2574,0,602,12.1667,12.5,-0.333333,7.98107,0.130868
9,2580,226,2580,0,675,11.8333,11.8333,0,7.36023,0.123357
10,2586,220,2586,0,746,12,12,0,7.6694,0.135541
11,2592,214,2592,0,818,11.6667,12,-0.333333,7.97423,0.110193
12,2598,208,2598,0,888,11.7663,11.7663,0,8.22311,0.104836
13,2604,202,2604,0,958.598,12.4003,12.4916,-0.0912376,8.25629,0.102038
14,2610,196,2610,0,1033,12.8333,12.3333,0.5,7.4481,0.0914786
15,2616,190,2616,0,1110,12,12,0,7.53582,0.088751
16,2622,184,2622,0,1182,12.6667,12.3333,0.333333,9.40885,0.0785158
17,2628,178,2628,0,1258,11.3333,12.3333,-1,7.08191,0.0737738
18,2634,172,2634,0,1326,12.5,12.5,0,7.79008,0.0686006
19,2640,166,2640,0,1401,12.5,12.5,0,7.8262,0.0653003
20,2646,160,2646,0,1476,12.5,12.5,0,8.24017,0.0635911
21,2652,154,2652,0,1551,12.5,12.5,0,7.5692,0.0518926
22,2658,148,2658,0,1626,12.572,12.572,0,7.14053,0.0515847
23,2664,142,2664,0,1701.43,12.4916,12.428,0.0635666,6.61568,0.0436177
24,2670,136,2670,0,1776.38,12.4364,12.4364,0,7.04751,0.0447162
25,2676,130,2676,0,1851,11.6667,11.6667,0,5.10988,0.0378255
26,2682,124,2682,0,1921,10.8333,10.8333,0,4.38547,0.0329293
27,2688,118,2688,0,1986,12.5,11.8333,0.666667,7.23326,0.0299047
28,2694,112,2694,0,2061,12.5,12.5,0,6.47366,0.0280387
29,2700,106,2700,0,2136,10.8333,12.5,-1.66667,5.47142,0.0230004
30,2706,100,2706,0,2201,14.1667,12,2.16667,8.5611,0.0200703
31,2712,94,2712,0,2286,13.8333,13.8333,0,7.9792,0.0169835
32,2718,88,2718,0,2369,12.5,12.5,0,6.49839,0.0151356
33,2724,82,2724,0,2444,12.8333,13.5,-0.666667,8.08939,0.0130874
34,2730,76,2730,0,2521,12.3333,12.3333,0,8.0577,0.0119238
35,2736,70,2736,0,2595,12.5,12.5,0,8.63114,0.009467
36,2742,64,2742,0,2670,11.3333,11.1667,0.166667,8.28435,0.00863037
37,2748,58,2748,0,2738,10.3333,10.8333,-0.5,7.66015,0.00605787
38,2754,52,2754,0,2800,10.8333,10.8333,0,6.68364,0.00500621
39,2760,46,2760,0,2865,11.7894,11,0.789384,7.66804,0.00334633
40,2766,40,2766,0,2935.74,11.8773,11.7106,0.166667,6.95267,0.00238537
41,2772,34,2772,0,3007,11.3333,11.3333,0,7.02157,0.00143804
42,2778,28,2778,0,3075,10.6667,11.5,-0.833333,6.22779,0.00097325
43,2784,22,2784,0,3139,11.6667,10.8333,0.833333,6.9825,0.000512833
44,2790,16,2790,0,3209,11.5,11.5,0,6.45111,0.000240709
45,2796,10,2796,0,3278,11.5,11.5,0,6.65438,9.7291e-05
46,2802,4,2802,0,3347,11.6372,11.6372,0,4.52913,1.75e-05
