k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,7.46721
1,6,74.9495,151,12.6751,7.92137
2,12,151,223,12,7.35413
3,18,223,298,12.5,8.46025
4,24,298,376,13,9.3851
5,30,376,451,12.5,9.78799
6,36,451,530.841,13.3069,10.3863
7,42,530.841,602,11.8598,9.23891
8,48,602,675,12.1667,7.98107
9,54,675,746,11.8333,7.36023
10,60,746,818,12,7.6694
11,66,818,888,11.6667,7.97423
12,72,888,958.598,11.7663,8.22311
13,78,958.598,1033,12.4003,8.25629
14,84,1033,1110,12.8333,7.4481
15,90,1110,1182,12,7.53582
16,96,1182,1258,12.6667,9.40885
17,102,1258,1326,11.3333,7.08191
18,108,1326,1401,12.5,7.79008
19,114,1401,1476,12.5,7.8262
20,120,1476,1551,12.5,8.24017
21,126,1551,1626,12.5,7.5692
22,132,1626,1701.43,12.572,7.14053
23,138,1701.43,1776.38,12.4916,6.61568
24,144,1776.38,1851,12.4364,7.04751
25,150,1851,1921,11.6667,5.10988
26,156,1921,1986,10.8333,4.38547
27,162,1986,2061,12.5,7.23326
28,168,2061,2136,12.5,6.47366
29,174,2136,2201,10.8333,5.47142
30,180,2201,2286,14.1667,8.5611
31,186,2286,2369,13.8333,7.9792
32,192,2369,2444,12.5,6.49839
33,198,2444,2521,12.8333,8.08939
34,204,2521,2595,12.3333,8.0577
35,210,2595,2670,12.5,8.63114
36,216,2670,2738,11.3333,8.28435
37,222,2738,2800,10.3333,7.66015
38,228,2800,2865,10.8333,6.68364
39,234,2865,2935.74,11.7894,7.66804
40,240,2935.74,3007,11.8773,6.95267
41,246,3007,3075,11.3333,7.02157
42,252,3075,3139,10.6667,6.22779
43,258,3139,3209,11.6667,6.9825
44,264,3209,3278,11.5,6.45111
45,270,3278,3347,11.5,6.65438
46,276,3347,3393.55,11.6372,4.52913
