k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,75,12.5,7.48469
1,6,75,147,12,6.70086
2,12,147,223,12.6667,8.62647
3,18,223,300,12.8333,9.31445
4,24,300,379,13.1667,9.86184
5,30,379,452,12.1667,9.06286
6,36,452,530,13,9.72765
7,42,530,605,12.5,10.5744
8,48,605,676,11.8333,7.32044
9,54,676,747,11.8333,7.37494
10,60,747,819,12,7.66693
11,66,819,885,11,6.73742
12,72,885,954,11.5,7.72517
13,78,954,1023,11.5,6.70189
14,84,1023,1103,13.3333,8.50856
15,90,1103,1171,11.3333,6.41879
16,96,1171,1239,11.3333,6.98608
17,102,1239,1307,11.3333,7.07017
18,108,1307,1385,13,9.12509
19,114,1385,1459,12.3333,7.41814
20,120,1459,1534,12.5,8.30465
21,126,1534,1609,12.5,7.72298
22,132,1609,1686,12.8333,7.73318
23,138,1686,1765,13.1667,7.98479
24,144,1765,1840,12.5,7.18631
25,150,1840,1912,12,6.25102
26,156,1912,1987,12.5,7.09324
27,162,1987,2061,12.3333,6.98254
28,168,2061,2134,12.1667,7.28326
29,174,2134,2205,11.8333,6.83139
30,180,2205,2282,12.8333,6.14025
31,186,2282,2358,12.6667,5.81321
32,192,2358,2431,12.1667,6.31604
33,198,2431,2507,12.6667,8.09337
34,204,2507,2581,12.3333,8.16519
35,210,2581,2651,11.6667,7.7777
36,216,2651,2718,11.1667,8.65181
37,222,2718,2782,10.6667,8.46421
38,228,2782,2850,11.3333,8.05568
39,234,2850,2922,12,8.37658
40,240,2922,2995,12.1667,7.40312
41,246,2995,3065,11.6667,7.64
42,252,3065,3134,11.5,7.59097
43,258,3134,3206,12,7.60516
44,264,3206,3277,11.8333,7.02355
45,270,3277,3347,11.6667,6.94141
46,276,3347,3394,11.75,4.66219
