k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69.9528,11.6588,9.9154
1,6,69.9528,144.902,12.4916,7.88851
2,12,144.902,221,12.6829,10.0275
3,18,221,281,10,6.68272
4,24,281,345,10.6667,6.83203
5,30,345,405,10,5.66939
6,36,405,465.879,10.1465,7.77228
7,42,465.879,521,9.18686,4.79403
8,48,521,590,11.5,7.72259
9,54,590,656,11,7.75494
10,60,656,726,11.6667,9.00286
11,66,726,786,10,5.46314
12,72,786,852,11,6.04804
13,78,852,926,12.3333,7.60047
14,84,926,1001,12.5,7.56053
15,90,1001,1070,11.5,6.27505
16,96,1070,1145,12.5,7.93636
17,102,1145,1215,11.6667,6.89301
18,108,1215,1289.93,12.4885,8.12772
19,114,1289.93,1363.83,12.3164,8.23564
20,120,1363.83,1438.78,12.4916,8.34801
21,126,1438.78,1513.73,12.4916,8.95455
22,132,1513.73,1588.68,12.4916,7.99168
23,138,1588.68,1664,12.5536,8.48964
24,144,1664,1734,11.6667,5.96288
25,150,1734,1807,12.1667,7.20338
26,156,1807,1881.77,12.4623,9.10343
27,162,1881.77,1954.03,12.0434,7.8406
