k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,68,11.3333,9.26715
1,6,68,140,12,7.13639
2,12,140,202,10.3333,5.87949
3,18,202,261,9.83333,6.57043
4,24,261,324,10.5,6.99639
5,30,324,390,11,7.10251
6,36,390,460,11.6667,10.1386
7,42,460,527,11.1667,7.86134
8,48,527,593,11,7.44799
9,54,593,659,11,7.58871
10,60,659,724,10.8333,7.40443
11,66,724,793,11.5,8.32593
12,72,793,865,12,7.76029
13,78,865,937,12,7.06817
14,84,937,1009,12,6.9156
15,90,1009,1082,12.1667,7.60421
16,96,1082,1154,12,7.1918
17,102,1154,1225,11.8333,7.429
18,108,1225,1296,11.8333,6.9669
19,114,1296,1369,12.1667,8.03884
20,120,1369,1442,12.1667,7.72928
21,126,1442,1514,12,7.972
22,132,1514,1588,12.3333,7.68732
23,138,1588,1660,12,7.43236
24,144,1660,1735,12.5,6.90782
25,150,1735,1810,12.5,7.08861
26,156,1810,1884,12.3333,8.75116
27,162,1884,1954,11.6667,7.07378
