k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,7.15281
1,6,70,140,11.6667,7.2236
2,12,140,210,11.6667,6.20381
3,18,210,283,12.1667,7.87793
4,24,283,338,9.16667,3.70026
5,30,338,408,11.6667,7.29326
6,36,408,483,12.5,9.36139
7,42,483,545,10.3333,7.04536
8,48,545,611.485,11.0808,6.36838
9,54,611.485,682,11.7525,6.07125
10,60,682,751,11.5,6.0824
11,66,751,819,11.3333,5.64431
12,72,819,885,11,4.5971
13,78,885,962,12.8333,7.90105
14,84,962,1038,12.6667,8.32221
15,90,1038,1109,11.8333,6.52925
16,96,1109,1184,12.5,8.70992
17,102,1184,1252,11.3333,7.45642
18,108,1252,1320,11.3333,7.37642
19,114,1320,1387,11.1667,7.73505
20,120,1387,1455,11.3333,8.0947
21,126,1455,1524.71,11.6187,6.17028
22,132,1524.71,1596.85,12.0237,6.65458
23,138,1596.85,1666,11.5242,6.33833
24,144,1666,1734,11.3333,6.68272
25,150,1734,1810,12.6667,9.92915
26,156,1810,1889,13.1667,6.96732
27,162,1889,1954.7,10.9498,6.08805
