k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69,11.5,6.85677
1,6,69,137,11.3333,6.60885
2,12,137,206,11.5,5.89917
3,18,206,274,11.3333,6.37131
4,24,274,340,11,6.1929
5,30,340,408,11.3333,6.91314
6,36,408,481,12.1667,9.50092
7,42,481,546,10.8333,7.92184
8,48,546,613,11.1667,6.47691
9,54,613,682,11.5,5.68468
10,60,682,753,11.8333,6.62205
11,66,753,825,12,6.83908
12,72,825,898,12.1667,6.42116
13,78,898,970,12,6.74687
14,84,970,1043,12.1667,7.33791
15,90,1043,1113,11.6667,6.18614
16,96,1113,1182,11.5,7.0314
17,102,1182,1251,11.5,7.75284
18,108,1251,1319,11.3333,7.36501
19,114,1319,1386,11.1667,7.72665
20,120,1386,1454,11.3333,8.10909
21,126,1454,1525,11.8333,6.50908
22,132,1525,1596,11.8333,6.33719
23,138,1596,1666,11.6667,6.56122
24,144,1666,1738,12,7.86121
25,150,1738,1808,11.6667,8.83619
26,156,1808,1889,13.5,9.45451
27,162,1889,1955,11,6.15596
