k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,7.25527
1,6,74.9495,136,10.1751,4.78585
2,12,136,211,12.5,7.79258
3,18,211,286,12.5,8.57434
4,24,286,351,10.8333,4.99993
5,30,351,410.916,9.98598,4.40501
6,36,410.916,485.865,12.4916,8.47974
7,42,485.865,546,10.0224,4.86663
8,48,546,612,11,4.93524
9,54,612,671,9.83333,3.78165
10,60,671,726,9.16667,3.1382
11,66,726,791,10.8333,5.24285
12,72,791,861,11.6667,7.41426
13,78,861,921,10,4.48102
14,84,921,991,11.6667,5.47694
15,90,991,1055,10.6667,4.88645
16,96,1055,1130,12.5,8.33175
17,102,1130,1205,12.5,7.95759
18,108,1205,1279.94,12.4897,8.93975
19,114,1279.94,1353.84,12.3164,9.33412
20,120,1353.84,1428.79,12.4916,8.77742
21,126,1428.79,1503.74,12.4916,9.14568
22,132,1503.74,1578.68,12.4916,8.6316
23,138,1578.68,1654,12.5525,8.87181
24,144,1654,1730,12.6667,9.2278
25,150,1730,1805.8,12.6336,9.75343
26,156,1805.8,1879,12.1997,7.39828
27,162,1879,1954.03,12.5057,7.98819
