k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,57,9.5,6.22569
1,6,57,118,10.1667,7.35261
2,12,118,178,10,5.57792
3,18,178,241,10.5,6.84113
4,24,241,304,10.5,6.76613
5,30,304,372,11.3333,7.32674
6,36,372,438,11,7.45587
7,42,438,508,11.6667,6.36191
8,48,508,571,10.5,5.74026
9,54,571,631,10,5.16936
10,60,631,701,11.6667,7.36611
11,66,701,771,11.6667,6.40895
12,72,771,837,11,5.82369
13,78,837,904,11.1667,5.48679
14,84,904,971,11.1667,5.76348
15,90,971,1044,12.1667,8.13132
16,96,1044,1109,10.8333,6.34686
17,102,1109,1195,14.3333,12.4822
18,108,1195,1272,12.8333,10.2736
19,114,1272,1344,12,8.01085
20,120,1344,1413,11.5,6.37843
21,126,1413,1488.64,12.6068,7.80402
22,132,1488.64,1560,11.8932,7.75384
23,138,1560,1642,13.6667,13.9989
24,144,1642,1717,12.5,11.7537
25,150,1717,1802,14.1667,12.0847
26,156,1802,1876,12.3333,9.35669
27,162,1876,1954.7,13.1165,12.3384
