k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,57,9.5,4.11059
1,6,57,117,10,4.37387
2,12,117,188,11.8333,6.16573
3,18,188,248,10,4.17758
4,24,248,325,12.8333,9.30277
5,30,325,398,12.1667,8.17205
6,36,398,470,12,7.86246
7,42,470,547,12.8333,8.72875
8,48,547,611,10.6667,5.0846
9,54,611,684,12.1667,7.63265
10,60,684,751,11.1667,6.40486
11,66,751,817,11,7.10438
12,72,817,885,11.3333,8.67961
13,78,885,953,11.3333,7.87639
14,84,953,1027,12.3333,11.5289
15,90,1027,1109,13.6667,15.7558
16,96,1109,1193,14,15.6383
17,102,1193,1271,13,14.6619
18,108,1271,1345,12.3333,12.0861
19,114,1345,1420,12.5,12.8018
20,120,1420,1485,10.8333,7.66623
21,126,1485,1553,11.3333,6.95474
22,132,1553,1620,11.1667,6.51795
23,138,1620,1688,11.3333,6.53876
24,144,1688,1754,11,6.03114
25,150,1754,1822.48,11.4129,6.68917
26,156,1822.48,1888,10.9205,5.75413
27,162,1888,1954.7,11.1165,6.23119
