k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1176,168,1176,0,0,12,,,8.37861,0.119701
1,1182,162,1182,0,72,12.1667,12.1667,0,8.24439,0.110615
2,1188,156,1188,0,145,12.6667,12.6667,0,8.28055,0.0981092
3,1194,150,1194,0,221,12,12,0,7.32674,0.0810022
4,1200,144,1200,0,293,12.1667,12.1667,0,7.17702,0.0832039
5,1206,138,1206,0,366,13.3333,13.1667,0.166667,9.81056,0.0708276
6,1212,132,1212,0,446,14.1667,12.3333,1.83333,11.9218,0.0608593
7,1218,126,1218,0,531,13.3333,13.3333,0,8.75137,0.0587597
8,1224,120,1224,0,611,12.1667,12.1667,0,6.87371,0.0515924
9,1230,114,1230,0,684,11.1667,11.1667,0,6.37872,0.0467357
10,1236,108,1236,0,751,11.5,11.3333,0.166667,7.33009,0.0445567
11,1242,102,1242,0,820,10.8333,10.8333,0,6.82426,0.042812
12,1248,96,1248,0,885,11.3333,11.5,-0.166667,6.74598,0.034063
13,1254,90,1254,0,953,11.5,11.1667,0.333333,6.12637,0.0297054
14,1260,84,1260,0,1022,11.5,11.5,0,6.28867,0.0249149
15,1266,78,1266,0,1091,11.6667,12.5,-0.833333,5.72926,0.0213452
16,1272,72,1272,0,1161,10.6667,10.6667,0,5.44858,0.0199937
17,1278,66,1278,0,1225,11.6667,10.8333,0.833333,6.59644,0.0151683
18,1284,60,1284,0,1295,10.3333,11.232,-0.898647,4.89864,0.0149392
19,1290,54,1290,0,1357,10.6667,9.83333,0.833333,5.98571,0.0105282
20,1296,48,1296,0,1421,10.1667,9.66667,0.5,5.90725,0.00856837
21,1302,42,1302,0,1482,10.1246,10.1246,0,5.82969,0.00630779
22,1308,36,1308,0,1542.75,10.542,10.542,0,5.36248,0.0141858
23,1314,30,1314,0,1606,10,10,0,4.84159,0.00290692
24,1320,24,1320,0,1666,11.3333,11.3333,0,5.86117,0.00165567
25,1326,18,1326,0,1734,12.6667,12.6667,0,8.67235,0.000968
26,1332,12,1332,0,1810,13.1667,13.1667,0,9.68887,0.000615333
27,1338,6,1338,0,1889,10.9498,10.9498,0,6.04858,0.000151334
