k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,59.9596,9.99326,5.66331
1,6,59.9596,134.909,12.4916,10.4105
2,12,134.909,208,12.1818,9.81553
3,18,208,281,12.1667,8.26104
4,24,281,349,11.3333,5.81794
5,30,349,410.916,10.3193,5.24277
6,36,410.916,485.865,12.4916,9.33878
7,42,485.865,561,12.5224,8.97016
8,48,561,631,11.6667,7.95759
9,54,631,691,10,4.4907
10,60,691,767,12.6667,7.49226
11,66,767,841,12.3333,8.55556
12,72,841,906,10.8333,4.94039
13,78,906,976,11.6667,6.24788
14,84,976,1043,11.1667,5.84674
15,90,1043,1110,11.1667,6.40919
16,96,1110,1175,10.8333,5.52402
17,102,1175,1250,12.5,8.75137
18,108,1250,1324.91,12.4846,10.2302
19,114,1324.91,1397,12.0154,9.81658
20,120,1397,1458.77,10.2943,6.61287
21,126,1458.77,1513.73,9.16049,4.08131
22,132,1513.73,1585,11.8785,8.43366
23,138,1585,1659,12.3333,7.41395
24,144,1659,1729,11.6667,6.39985
25,150,1729,1805,12.6667,8.0572
26,156,1805,1879,12.3333,7.14219
27,162,1879,1954.03,12.5057,9.06873
