k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,65,10.8333,5.30689
1,6,65,129,10.6667,5.86679
2,12,129,195,11,6.12485
3,18,195,262.679,11.2799,6.47831
4,24,262.679,338,12.5535,8.89551
5,30,338,414,12.6667,9.12651
6,36,414,491,12.8333,9.04807
7,42,491,572,13.5,9.48033
8,48,572,653,13.5,9.88088
9,54,653,733,13.3333,10.514
10,60,733,803,11.6667,6.7085
11,66,803,871,11.3333,5.93671
12,72,871,939,11.3333,5.69695
13,78,939,1007,11.3333,6.28207
14,84,1007,1073,11,5.09007
15,90,1073,1140,11.1667,5.65173
16,96,1140,1208,11.3333,6.0877
17,102,1208,1276,11.3333,5.9078
18,108,1276,1344,11.3333,5.98066
19,114,1344,1407,10.5,5.62461
20,120,1407,1470,10.5,4.89245
21,126,1470,1543,12.1667,7.38725
22,132,1543,1603,10,5.26184
23,138,1603,1666.12,10.5198,5.7203
24,144,1666.12,1734,11.3135,5.76529
25,150,1734,1810,12.6667,8.94529
26,156,1810,1889,13.1667,8.61619
27,162,1889,1954.7,10.9498,6.70416
