k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,67,11.1667,5.8049
1,6,67,131,10.6667,5.87767
2,12,131,199,11.3333,6.65081
3,18,199,268,11.5,7.00688
4,24,268,342,12.3333,8.50361
5,30,342,416,12.3333,9.39947
6,36,416,491,12.5,8.32431
7,42,491,568,12.8333,10.1203
8,48,568,652,14,11.1134
9,54,652,732,13.3333,10.5038
10,60,732,810,13,9.25089
11,66,810,882,12,6.77002
12,72,882,953,11.8333,6.34182
13,78,953,1018,10.8333,5.305
14,84,1018,1083,10.8333,4.80383
15,90,1083,1146,10.5,4.54759
16,96,1146,1211,10.8333,5.23431
17,102,1211,1277,11,5.38249
18,108,1277,1344,11.1667,5.70155
19,114,1344,1410,11,6.67441
20,120,1410,1477,11.1667,5.99426
21,126,1477,1539,10.3333,5.64427
22,132,1539,1601,10.3333,5.73859
23,138,1601,1666,10.8333,6.19138
24,144,1666,1734,11.3333,5.79124
25,150,1734,1806,12,8.5189
26,156,1806,1882,12.6667,8.92316
27,162,1882,1955,12.1667,8.91855
