k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,71,11.8333,8.93204
1,6,71,149,13,11.7175
2,12,149,224,12.5,10.2645
3,18,224,292,11.3333,6.65372
4,24,292,361,11.5,6.57159
5,30,361,430,11.5,7.0983
6,36,430,498,11.3333,6.75427
7,42,498,571,12.1667,7.83534
8,48,571,642,11.8333,8.34689
9,54,642,712,11.6667,7.73022
10,60,712,781,11.5,5.87433
11,66,781,845,10.6667,5.50359
12,72,845,908,10.5,5.55455
13,78,908,975,11.1667,5.89908
14,84,975,1049,12.3333,8.53541
15,90,1049,1125,12.6667,8.8389
16,96,1125,1198,12.1667,8.44054
17,102,1198,1269,11.8333,8.04825
18,108,1269,1339,11.6667,8.83221
19,114,1339,1407,11.3333,8.76118
20,120,1407,1478,11.8333,9.48416
21,126,1478,1545,11.1667,7.18299
22,132,1545,1612,11.1667,6.63847
23,138,1612,1683,11.8333,6.29503
24,144,1683,1750,11.1667,6.37476
25,150,1750,1818,11.3333,7.27826
26,156,1818,1889,11.8333,6.56804
27,162,1889,1955,11,6.10078
