k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,71,11.8333,10.4141
1,6,71,146,12.5,11.0247
2,12,146,221.044,12.5073,10.0327
3,18,221.044,281,9.99269,5.41724
4,24,281,361,13.3333,9.56418
5,30,361,435.899,12.4832,8.7522
6,36,435.899,511,12.5168,8.87209
7,42,511,577,11,6.31445
8,48,577,646.21,11.5349,7.09269
9,54,646.21,706,9.96506,6.11074
10,60,706,766,10,5.34273
11,66,766,835,11.5,6.1758
12,72,835,896,10.1667,4.20646
13,78,896,966,11.6667,7.31668
14,84,966,1040,12.3333,8.73628
15,90,1040,1115,12.5,9.75628
16,96,1115,1170,9.16667,4.88901
17,102,1170,1235,10.8333,6.68903
18,108,1235,1304.92,11.6535,7.7093
19,114,1304.92,1378.82,12.3164,10.7071
20,120,1378.82,1448.77,11.6588,8.19325
21,126,1448.77,1523.72,12.4916,8.83434
22,132,1523.72,1593.67,11.6588,7.24892
23,138,1593.67,1664,11.7209,7.29724
24,144,1664,1734,11.6667,6.2268
25,150,1734,1809,12.5,8.49351
26,156,1809,1878,11.5,9.21549
27,162,1878,1954.03,12.6724,10.3297
