k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,73,12.1667,11.0629
1,6,73,142,11.5,8.88677
2,12,142,212,11.6667,8.39045
3,18,212,278,11,7.06792
4,24,278,348,11.6667,7.21925
5,30,348,424,12.6667,9.29393
6,36,424,501,12.8333,9.46165
7,42,501,575,12.3333,8.50049
8,48,575,648,12.1667,8.06071
9,54,648,715,11.1667,8.03153
10,60,715,782,11.1667,7.74187
11,66,782,856,12.3333,7.55537
12,72,856,926,11.6667,5.80678
13,78,926,992,11,6.91
14,84,992,1055,10.5,6.58565
15,90,1055,1122,11.1667,7.26292
16,96,1122,1188,11,7.74615
17,102,1188,1256,11.3333,8.49785
18,108,1256,1329,12.1667,9.32453
19,114,1329,1403,12.3333,10.7995
20,120,1403,1473,11.6667,8.05088
21,126,1473,1541,11.3333,6.72338
22,132,1541,1609,11.3333,6.40662
23,138,1609,1676,11.1667,6.19282
24,144,1676,1745,11.5,7.37925
25,150,1745,1816,11.8333,6.54572
26,156,1816,1879,10.5,7.0653
27,162,1879,1954,12.5,9.95302
