k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,2520,168,2520,0,0,12.4916,,,8.1289,0.455624
1,2526,162,2526,0,74.9495,12.4916,12.4916,0,8.07176,0.428877
2,2532,156,2532,0,149.899,12.5168,12.5168,0,7.9269,0.352148
3,2538,150,2538,0,225,12.3333,12.5,-0.166667,7.99106,0.322563
4,2544,144,2544,0,299,10,10,0,4.34115,0.287208
5,2550,138,2550,0,359,11.3333,11.3333,0,6.45876,0.2694
6,2556,132,2556,0,427,10.6667,10.6667,0,4.78984,0.244348
7,2562,126,2562,0,491,10.8333,10.8333,0,5.55184,0.224126
8,2568,120,2568,0,556,11.6667,11.6667,0,7.26988,0.198131
9,2574,114,2574,0,626,11.6667,12.1667,-0.5,6.71114,0.175057
10,2580,108,2580,0,696,10.6667,10.6667,0,5.49352,0.14906
11,2586,102,2586,0,760,10.1667,10.1667,0,4.69687,0.138236
12,2592,96,2592,0,821,11.6667,11.6667,0,7.0063,0.117896
13,2598,90,2598,0,891,12.6667,12.3333,0.333333,6.62298,0.102541
14,2604,84,2604,0,967,12.355,12.355,0,7.57426,0.0941509
15,2610,78,2610,0,1041.13,10.645,10.645,0,4.79199,0.0823643
16,2616,72,2616,0,1105,11.8333,11.8333,0,7.09781,0.061784
17,2622,66,2622,0,1176,12.3264,12.3264,0,8.03524,0.0537867
18,2628,60,2628,0,1249.96,12.4916,12.4916,0,8.65171,0.0455622
19,2634,54,2634,0,1324.91,12.3164,11.4836,0.832772,9.16519,0.0344385
20,2640,48,2640,0,1398.81,12.4916,9.99326,2.49832,10.3861,0.0261857
21,2646,42,2646,0,1473.76,11.0407,12.4916,-1.45086,7.05536,0.0209518
22,2652,36,2652,0,1540,12.3333,12.3333,0,8.8872,0.013782
23,2658,30,2658,0,1614,10,10.6667,-0.666667,4.74452,0.00871392
24,2664,24,2664,0,1674,11.6667,11.6667,0,8.9798,0.00504963
25,2670,18,2670,0,1744,12,12.6667,-0.666667,8.55285,0.00215762
26,2676,12,2676,0,1816,12.3333,12.3333,0,8.0719,0.00116258
27,2682,6,2682,0,1890,10.6724,10.6724,0,6.39291,0.000182458
