k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,71,11.8333,6.69249
1,6,71,144,12.1667,7.35462
2,12,144,215,11.8333,6.36863
3,18,215,289,12.3333,7.84622
4,24,289,364,12.5,7.81501
5,30,364,437,12.1667,8.41614
6,36,437,510,12.1667,7.60871
7,42,510,582,12,7.26705
8,48,582,655,12.1667,7.69078
9,54,655,724,11.5,7.70911
10,60,724,794,11.6667,7.5389
11,66,794,862,11.3333,7.48412
12,72,862,935,12.1667,7.21785
13,78,935,1005,11.6667,7.18456
14,84,1005,1075,11.6667,6.41864
15,90,1075,1144,11.5,6.61378
16,96,1144,1215,11.8333,6.26425
17,102,1215,1285,11.6667,6.54332
18,108,1285,1354,11.5,6.05062
19,114,1354,1421,11.1667,6.84565
20,120,1421,1489,11.3333,6.09098
21,126,1489,1555,11,6.1805
22,132,1555,1620,10.8333,5.98447
23,138,1620,1686,11,5.5683
24,144,1686,1756,11.6667,6.39462
25,150,1756,1821,10.8333,7.02454
26,156,1821,1888,11.1667,5.63126
27,162,1888,1954,11,7.04274
