k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,7.86273
1,6,74.9495,149.899,12.4916,7.8987
2,12,149.899,221,11.8502,6.59706
3,18,221,296,12.5,7.51951
4,24,296,365,11.5,6.25247
5,30,365,425,10,4.88915
6,36,425,485,10,4.34292
7,42,485,546,10.1667,4.49931
8,48,546,616,11.6667,6.93818
9,54,616,696,13.3333,10.2026
10,60,696,771,12.5,9.23954
11,66,771,837,11,6.70482
12,72,837,906,11.5,6.58604
13,78,906,980,12.3333,8.68736
14,84,980,1055.09,12.5149,8.26602
15,90,1055.09,1130.04,12.4916,8.33665
16,96,1130.04,1204.99,12.4916,7.37318
17,102,1204.99,1279.94,12.4916,8.04811
18,108,1279.94,1353.84,12.3164,7.49387
19,114,1353.84,1413.8,9.99326,4.98456
20,120,1413.8,1483.75,11.6588,6.78171
21,126,1483.75,1543.71,9.99326,4.63823
22,132,1543.71,1603.67,9.99326,4.77378
23,138,1603.67,1674,11.722,7.01901
24,144,1674,1744,11.6667,6.25391
25,150,1744,1811,11.1667,6.2811
26,156,1811,1885,12.3333,7.64256
27,162,1885,1954.03,11.5057,8.14456
