k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,8.85482
1,6,74.9495,147,12.0084,7.42833
2,12,147,223,12.6667,6.67475
3,18,223,299,12.6667,7.52975
4,24,299,373,12.3333,7.75617
5,30,373,453,13.3333,8.67985
6,36,453,530.841,12.9735,8.68012
7,42,530.841,601,11.6931,7.61357
8,48,601,671,11.6667,7.65316
9,54,671,744,12.1667,8.6481
10,60,744,820,12.6667,9.74633
11,66,820,889,11.5,7.48039
12,72,889,961,12,7.59529
13,78,961,1033,12,6.99562
14,84,1033,1107,12.3333,7.47186
15,90,1107,1181,12.3333,7.51269
16,96,1181,1257,12.6667,7.63811
17,102,1257,1327,11.6667,5.91333
18,108,1327,1394,11.1667,5.58897
19,114,1394,1463,11.5,5.83009
20,120,1463,1532,11.5,5.7435
21,126,1532,1604,12,7.2831
22,132,1604,1676,12,7.11998
23,138,1676,1749,12.1667,7.52975
24,144,1749,1825,12.6667,7.69372
25,150,1825,1901,12.6667,6.633
26,156,1901,1986,14.1667,9.18876
27,162,1986,2059,12.1667,6.70166
28,168,2059,2130,11.8333,6.56636
29,174,2130,2202,12,5.98815
30,180,2202,2273,11.8333,5.73815
31,186,2273,2344,11.8333,5.39059
32,192,2344,2415,11.8333,6.51078
33,198,2415,2480,10.8333,5.67571
34,204,2480,2545,10.8333,5.36489
35,210,2545,2620,12.5,8.22057
36,216,2620,2689,11.5,6.37231
37,222,2689,2763,12.3333,6.62887
38,228,2763,2837,12.3333,6.63549
39,234,2837,2912,12.5,6.98521
40,240,2912,2985,12.1667,6.6059
41,246,2985,3070,14.1667,10.6738
42,252,3070,3141,11.8333,7.70061
43,258,3141,3210,11.5,6.64827
44,264,3210,3278,11.3333,6.5553
45,270,3278,3348,11.6667,6.7333
46,276,3348,3393.55,11.3872,4.27474
