k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,68,11.3333,9.47199
1,6,68,140,12,7.04619
2,12,140,201,10.1667,5.65262
3,18,201,262.679,10.2799,7.21997
4,24,262.679,324,10.2201,6.70381
5,30,324,387,10.5,6.39124
6,36,387,450,10.5,6.81284
7,42,450,511,10.1667,6.53861
8,48,511,583,12,8.28799
9,54,583,651,11.3333,8.28321
10,60,651,720,11.5,8.68549
11,66,720,790,11.6667,8.46854
12,72,790,866,12.6667,8.92615
13,78,866,937,11.8333,6.15786
14,84,937,1008,11.8333,6.56507
15,90,1008,1073,10.8333,5.46339
16,96,1073,1146,12.1667,7.31333
17,102,1146,1217.96,11.9933,7.72448
18,108,1217.96,1290,12.0067,7.20209
19,114,1290,1362,12,6.80965
20,120,1362,1434,12,7.24323
21,126,1434,1510,12.6667,8.99901
22,132,1510,1586,12.6667,8.22261
23,138,1586,1659,12.1667,7.4776
24,144,1659,1734,12.5,6.98865
25,150,1734,1810,12.6667,8.21178
26,156,1810,1884,12.3333,8.43604
27,162,1884,1954.7,11.7831,7.03623
