k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,66,11,7.28468
1,6,66,133,11.1667,7.50319
2,12,133,203,11.6667,7.54218
3,18,203,270,11.1667,7.47348
4,24,270,341,11.8333,8.1221
5,30,341,415,12.3333,8.27353
6,36,415,485,11.6667,7.10059
7,42,485,560,12.5,8.32276
8,48,560,637,12.8333,8.37736
9,54,637,708,11.8333,7.15265
10,60,708,778,11.6667,7.59775
11,66,778,848,11.6667,8.08525
12,72,848,913,10.8333,7.00963
13,78,913,986,12.1667,8.15514
14,84,986,1055,11.5,7.67116
15,90,1055,1129,12.3333,8.40109
16,96,1129,1202,12.1667,8.05148
17,102,1202,1274,12,6.78372
18,108,1274,1346,12,7.9753
19,114,1346,1419,12.1667,8.12008
20,120,1419,1493,12.3333,8.02607
21,126,1493,1563,11.6667,7.32854
22,132,1563,1632,11.5,6.66921
23,138,1632,1702,11.6667,7.00825
24,144,1702,1773,11.8333,6.13147
25,150,1773,1830,9.5,5.01439
26,156,1830,1893,10.5,4.58799
27,162,1893,1954,10.1667,5.12021
