k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,69.9528,11.6588,8.67381
1,6,69.9528,129.912,9.99326,5.5654
2,12,129.912,189.872,9.99326,4.75598
3,18,189.872,261.017,11.8575,9.03203
4,24,261.017,335.966,12.4916,9.42964
5,30,335.966,410.916,12.4916,8.64967
6,36,410.916,485.865,12.4916,8.58281
7,42,485.865,561.267,12.5669,8.46895
8,48,561.267,636,12.4555,7.6412
9,54,636,706,11.6667,5.97165
10,60,706,771,10.8333,6.0628
11,66,771,840,11.5,7.10438
12,72,840,901,10.1667,5.89993
13,78,901,971,11.6667,8.95295
14,84,971,1042,11.8333,8.3062
15,90,1042,1115,12.1667,8.32806
16,96,1115,1186,11.8333,7.41426
17,102,1186,1259.95,12.3253,7.10866
18,108,1259.95,1334.9,12.4916,8.79094
19,114,1334.9,1408.8,12.3164,8.51902
20,120,1408.8,1483.75,12.4916,8.41737
21,126,1483.75,1543.71,9.99326,4.53681
22,132,1543.71,1603.67,9.99326,4.49826
23,138,1603.67,1664,10.0553,4.61355
24,144,1664,1734,11.6667,7.1802
25,150,1734,1807,12.1667,7.60169
26,156,1807,1881.77,12.4623,7.6757
27,162,1881.77,1954.03,12.0434,8.67609
