k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,7.7341
1,6,70,157,14.5,13.7015
2,12,157,232,12.5,8.23713
3,18,232,304,12,8.65029
4,24,304,374,11.6667,7.66025
5,30,374,443,11.5,7.70489
6,36,443,511,11.3333,7.08764
7,42,511,587,12.6667,8.13245
8,48,587,660,12.1667,7.61303
9,54,660,731,11.8333,7.33966
10,60,731,804,12.1667,7.11095
11,66,804,872,11.3333,6.81953
12,72,872,944,12,7.1369
13,78,944,1011,11.1667,5.69059
14,84,1011,1078,11.1667,5.63417
15,90,1078,1145.73,11.2889,5.91216
16,96,1145.73,1217.96,12.0378,7.86192
17,102,1217.96,1279.62,10.2763,5.35388
18,108,1279.62,1344,10.7305,5.88366
19,114,1344,1398,9,4.36132
20,120,1398,1470,12,9.53218
21,126,1470,1538,11.3333,6.37641
22,132,1538,1610,12,6.97142
23,138,1610,1683.19,12.1992,7.77359
24,144,1683.19,1753,11.6342,7.03913
25,150,1753,1822.48,11.5795,6.00925
26,156,1822.48,1890,11.2538,6.47737
27,162,1890,1954.7,10.7831,5.01072
