k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1344,168,1344,0,0,11.6667,,,7.72512,6.81514
1,1350,162,1350,0,70,11.6667,12.3333,-0.666667,7.17474,6.2096
2,1356,156,1356,0,140,12.5,12,0.5,8.04654,5.8305
3,1362,150,1362,0,215,12.6667,11.6667,1,10.0833,5.3508
4,1368,144,1368,0,291,11.5,12.8333,-1.33333,7.37786,4.91238
5,1374,138,1374,0,360,11.5,11.5,0,7.64123,4.58591
6,1380,132,1380,0,429,11.3333,12,-0.666667,7.03969,4.07671
7,1386,126,1386,0,497,12,12,0,7.40071,3.71699
8,1392,120,1392,0,569,12.5,11.8333,0.666667,8.43781,3.4085
9,1398,114,1398,0,644,11.5,12.1667,-0.666667,6.94637,2.98385
10,1404,108,1404,0,713,11.8333,11.8333,0,7.01828,2.83662
11,1410,102,1410,0,784,12,12,0,7.9952,2.39904
12,1416,96,1416,0,856,12,12,0,7.12167,2.1355
13,1422,90,1422,0,928,12.1667,12.1667,0,7.29198,1.9365
14,1428,84,1428,0,1001,12.1667,12.1667,0,7.32034,1.61009
15,1434,78,1434,0,1074,12.6667,11.6667,1,8.35781,1.36516
16,1440,72,1440,0,1150,11.6667,12.1667,-0.5,7.37552,1.17877
17,1446,66,1446,0,1220,12,11.6667,0.333333,8.12835,1.02548
18,1452,60,1452,0,1292,11.3333,11.1667,0.166667,7.21775,0.826647
19,1458,54,1458,0,1360,10.5,11,-0.5,6.86768,0.650385
20,1464,48,1464,0,1423,10.6667,10.5,0.166667,6.79019,0.497575
21,1470,42,1470,0,1487,11.3333,10.6667,0.666667,6.4328,0.373891
22,1476,36,1476,0,1555,12.3333,11.8333,0.5,7.50264,0.283423
23,1482,30,1482,0,1629,12,12,0,7.31514,0.177131
24,1488,24,1488,0,1701,10.6667,11.8333,-1.16667,5.38268,0.103133
25,1494,18,1494,0,1765,10.6667,10.6667,0,4.64374,0.0434212
26,1500,12,1500,0,1829,10.3333,10.1667,0.166667,5.00863,0.0117529
27,1506,6,1506,0,1891,10.6667,10.6667,0,4.8425,0.000260667
