k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,7.72512
1,6,70,140,11.6667,7.17474
2,12,140,215,12.5,8.04654
3,18,215,291,12.6667,10.0833
4,24,291,360,11.5,7.37786
5,30,360,429,11.5,7.64123
6,36,429,497,11.3333,7.03969
7,42,497,569,12,7.40071
8,48,569,644,12.5,8.43781
9,54,644,713,11.5,6.94637
10,60,713,784,11.8333,7.01828
11,66,784,856,12,7.9952
12,72,856,928,12,7.12167
13,78,928,1001,12.1667,7.29198
14,84,1001,1074,12.1667,7.32034
15,90,1074,1150,12.6667,8.35781
16,96,1150,1220,11.6667,7.37552
17,102,1220,1292,12,8.12835
18,108,1292,1360,11.3333,7.21775
19,114,1360,1423,10.5,6.86768
20,120,1423,1487,10.6667,6.79019
21,126,1487,1555,11.3333,6.4328
22,132,1555,1629,12.3333,7.50264
23,138,1629,1701,12,7.31514
24,144,1701,1765,10.6667,5.38268
25,150,1765,1829,10.6667,4.64374
26,156,1829,1891,10.3333,5.00863
27,162,1891,1955,10.6667,4.8425
