k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,59.9596,9.99326,5.5184
1,6,59.9596,129.912,11.6588,6.99654
2,12,129.912,189.872,9.99326,5.22459
3,18,189.872,256,11.0213,6.37191
4,24,256,321,10.8333,6.39372
5,30,321,380.936,9.98935,4.8225
6,36,380.936,447,11.0107,6.17907
7,42,447,521,12.3333,6.97826
8,48,521,601,13.3333,8.49351
9,54,601,677,12.6667,8.48611
10,60,677,751,12.3333,8.05881
11,66,751,826,12.5,6.89623
12,72,826,896,11.6667,6.42746
13,78,896,966,11.6667,6.81923
14,84,966,1037,11.8333,9.34561
15,90,1037,1110,12.1667,10.5769
16,96,1110,1180,11.6667,9.76176
17,102,1180,1249,11.5,7.77828
18,108,1249,1309,10,4.89295
19,114,1309,1368.83,9.97107,5.08483
20,120,1368.83,1433.78,10.826,6.07281
21,126,1433.78,1508,12.3696,7.98469
22,132,1508,1596,14.6667,12.1504
23,138,1596,1669.21,12.2018,8.14111
24,144,1669.21,1744.16,12.4916,8.41597
25,150,1744.16,1818,12.3066,6.23941
26,156,1818,1879,10.1667,5.14283
27,162,1879,1954.03,12.5057,7.8082
