k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1680,168,1680,0,0,10.5,,,6.31474,14.9525
1,1686,162,1686,0,63,10.8333,10.8333,0,5.49509,13.8988
2,1692,156,1692,0,128,10.3333,10,0.333333,5.74874,12.8992
3,1698,150,1698,0,190,11.1667,10.8333,0.333333,6.46122,12.0709
4,1704,144,1704,0,257,11.1667,10.8333,0.333333,6.86536,11.0483
5,1710,138,1710,0,324,10.3333,11.5,-1.16667,5.41785,10.0956
6,1716,132,1716,0,386,11,11,0,5.94005,9.21342
7,1722,126,1722,0,452,11.5,11.8333,-0.333333,5.60627,8.57944
8,1728,120,1728,0,521,11.1667,11.3333,-0.166667,5.98055,7.68336
9,1734,114,1734,0,588,11.5,11.5,0,6.64919,6.89068
10,1740,108,1740,0,657,11.6667,12.1667,-0.5,6.75151,6.20116
11,1746,102,1746,0,727,12.1667,12,0.166667,6.96385,5.50976
12,1752,96,1752,0,800,12.5,11.5,1,8.32904,4.89063
13,1758,90,1758,0,875,12.6667,12,0.666667,8.91105,4.18464
14,1764,84,1764,0,951,12.3333,12,0.333333,10.5586,3.54128
15,1770,78,1770,0,1025,12.5,11.8333,0.666667,11.3329,3.00553
16,1776,72,1776,0,1100,11,11.8333,-0.833333,8.32609,2.48354
17,1782,66,1782,0,1166,12.3333,11.8333,0.5,8.94531,2.11309
18,1788,60,1788,0,1240,11.6667,11.5,0.166667,7.79771,1.69582
19,1794,54,1794,0,1310,11.5,11.5,0,7.58464,1.33048
20,1800,48,1800,0,1379,11.1667,12.1667,-1,6.52735,1.04185
21,1806,42,1806,0,1446,12.3333,11.6667,0.666667,7.7593,0.788673
22,1812,36,1812,0,1520,12,11.8333,0.166667,7.41188,0.558897
23,1818,30,1818,0,1592,12.1667,11.8333,0.333333,8.0919,0.357267
24,1824,24,1824,0,1665,12,12,0,7.46908,0.200475
25,1830,18,1830,0,1737,12.5,12.6667,-0.166667,6.46488,0.0892789
26,1836,12,1836,0,1812,11.1667,11.3333,-0.166667,6.69948,0.0209464
27,1842,6,1842,0,1879,12.5,12.5,0,7.78769,0.000588291
