k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,64,10.6667,6.78848
1,6,64,129,10.8333,5.41037
2,12,129,199.869,11.8115,8.2751
3,18,199.869,271,11.8552,7.90679
4,24,271,338,11.1667,6.83573
5,30,338,409,11.8333,7.27656
6,36,409,470,10.1667,4.59857
7,42,470,547,12.8333,7.66371
8,48,547,611,10.6667,5.35677
9,54,611,683,12,7.30664
10,60,683,751,11.3333,6.39298
11,66,751,828,12.8333,7.69831
12,72,828,904,12.6667,8.50091
13,78,904,980,12.6667,8.64986
14,84,980,1051,11.8333,9.43012
15,90,1051,1119,11.3333,8.86669
16,96,1119,1182,10.5,7.09453
17,102,1182,1248,11,5.98175
18,108,1248,1325,12.8333,10.1798
19,114,1325,1398,12.1667,8.72447
20,120,1398,1461,10.5,5.10724
21,126,1461,1533,12,6.96712
22,132,1533,1604,11.8333,7.54038
23,138,1604,1672,11.3333,6.77917
24,144,1672,1740,11.3333,6.28083
25,150,1740,1810.65,11.7746,5.59209
26,156,1810.65,1876,10.8921,5.86342
27,162,1876,1954.7,13.1165,8.58262
