k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,64,10.6667,6.78633
1,6,64,130,11,5.65633
2,12,130,195,10.8333,6.61435
3,18,195,262,11.1667,6.77111
4,24,262,327,10.8333,6.15461
5,30,327,389,10.3333,5.70489
6,36,389,455,11,6.22981
7,42,455,524,11.5,5.76576
8,48,524,592,11.3333,6.22069
9,54,592,661,11.5,6.53167
10,60,661,732,11.8333,7.08277
11,66,732,807,12.5,7.54736
12,72,807,884,12.8333,9.11166
13,78,884,957,12.1667,7.89461
14,84,957,1032,12.5,10.9237
15,90,1032,1110,13,12.3571
16,96,1110,1183,12.1667,10.8358
17,102,1183,1252,11.5,6.83821
18,108,1252,1323,11.8333,8.01769
19,114,1323,1393,11.6667,7.75703
20,120,1393,1459,11,5.92518
21,126,1459,1538,13.1667,9.2419
22,132,1538,1615,12.8333,9.73301
23,138,1615,1684,11.5,6.61687
24,144,1684,1752,11.3333,6.31575
25,150,1752,1822,11.6667,5.51135
26,156,1822,1886,10.6667,5.57503
27,162,1886,1955,11.5,5.97995
