k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,8.09168
1,6,74.9495,146,11.8418,6.69393
2,12,146,221,12.5,7.27341
3,18,221,286,10.8333,5.05994
4,24,286,356,11.6667,6.20276
5,30,356,430.902,12.4837,8.0965
6,36,430.902,491.314,10.0686,4.11128
7,42,491.314,551,9.94766,4.85771
8,48,551,621,11.6667,7.86233
9,54,621,680,9.83333,5.88721
10,60,680,741,10.1667,5.08906
11,66,741,817,12.6667,8.91468
12,72,817,891.231,12.3718,8.36991
13,78,891.231,966,12.4615,8.26263
14,84,966,1036,11.6667,6.72696
15,90,1036,1104,11.3333,6.36926
16,96,1104,1170,11,5.94251
17,102,1170,1240,11.6667,6.10427
18,108,1240,1299.92,9.98743,5.63349
19,114,1299.92,1375,12.5126,9.30888
20,120,1375,1443.78,11.4627,7.11498
21,126,1443.78,1515,11.8707,7.95373
22,132,1515,1590,12.5,8.60079
23,138,1590,1668,13,8.95286
24,144,1668,1739,11.8333,6.56235
25,150,1739,1812,12.1667,7.38725
26,156,1812,1886.77,12.4617,8.93207
27,162,1886.77,1954.03,11.2106,6.32793
