k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1686,280,1686,0,0,11.1667,,,6.29623,10.1838
1,1692,274,1692,0,67,11.5,10.8333,0.666667,5.89362,9.73053
2,1698,268,1698,0,136,10.5,11.1667,-0.666667,6.16374,9.27607
3,1704,262,1704,0,199,10,10.8333,-0.833333,6.00073,8.83952
4,1710,256,1710,0,259,11.6667,11.3333,0.333333,6.43496,8.46483
5,1716,250,1716,0,329,11,11,0,7.12975,11.6397
6,1722,244,1722,0,395,11,10.8333,0.166667,8.00223,11.0685
7,1728,238,1728,0,461,12,12,0,7.56119,10.6323
8,1734,232,1734,0,533,11.6667,12.5,-0.833333,6.6343,10.2622
9,1740,226,1740,0,603,12.6667,12.5,0.166667,8.07512,12.2147
10,1746,220,1746,0,679,12.8333,12.5,0.333333,8.57597,11.6467
11,1752,214,1752,0,756,12.8333,12.1667,0.666667,8.39909,5.84902
12,1758,208,1758,0,833,11.5,12.5,-1,7.43027,5.51015
13,1764,202,1764,0,902,12.3333,12.3333,0,8.04617,5.16027
14,1770,196,1770,0,976,12.6667,12.6667,0,7.84016,4.87218
15,1776,190,1776,0,1052,12.5,12.8333,-0.333333,7.42865,4.56299
16,1782,184,1782,0,1127,12,12.1667,-0.166667,7.1845,4.2699
17,1788,178,1788,0,1199,12.1667,12,0.166667,7.30813,4.0122
18,1794,172,1794,0,1272,12,12,0,7.58555,3.75722
19,1800,166,1800,0,1344,12.5,11.8333,0.666667,8.94284,3.43492
20,1806,160,1806,0,1419,12.6667,12.6667,0,7.85156,3.18476
21,1812,154,1812,0,1495,12,12.3333,-0.333333,7.14588,2.91421
22,1818,148,1818,0,1567,12.1667,12.3333,-0.166667,7.04947,2.67313
23,1824,142,1824,0,1640,12.5,12.1667,0.333333,7.31062,2.48855
24,1830,136,1830,0,1715,12.5,12.5,0,7.28592,2.23622
25,1836,130,1836,0,1790,12.3333,12.6667,-0.333333,6.65583,2.06371
26,1842,124,1842,0,1864,12.5,12.5,0,6.98983,1.83301
27,1848,118,1848,0,1939,11.8333,12,-0.166667,6.86373,1.67751
28,1854,112,1854,0,2010,12.1667,12.3333,-0.166667,7.26452,1.49542
29,1860,106,1860,0,2083,12.5,12.3333,0.166667,7.9482,1.32674
30,1866,100,1866,0,2158,12.1667,12.3333,-0.166667,8.36918,1.15801
31,1872,94,1872,0,2231,12.5,12.3333,0.166667,7.98491,1.01853
32,1878,88,1878,0,2306,12.3333,12.3333,0,7.88852,0.877178
33,1884,82,1884,0,2380,12.3333,12,0.333333,8.75012,0.744833
34,1890,76,1890,0,2454,11.8333,12.3333,-0.5,7.98381,0.617452
35,1896,70,1896,0,2525,12.1667,12,0.166667,8.07028,0.516233
36,1902,64,1902,0,2598,12.1667,12.5,-0.333333,7.06269,0.420728
37,1908,58,1908,0,2671,12.5,12.3333,0.166667,7.05929,0.337507
38,1914,52,1914,0,2746,13,13,0,7.04595,0.261388
39,1920,46,1920,0,2824,12.6667,12.8333,-0.166667,7.24671,0.186701
40,1926,40,1926,0,2900,12.6667,12.5,0.166667,7.72895,0.129941
41,1932,34,1932,0,2976,12.3333,12.3333,0,8.64279,0.0820542
42,1938,28,1938,0,3050,12.1667,12.1667,0,8.88558,0.0470901
43,1944,22,1944,0,3123,12.1667,12.1667,0,8.19623,0.0209146
44,1950,16,1950,0,3196,12.3333,12.3333,0,8.30722,0.00560225
45,1956,10,1956,0,3270,12.3333,12.3333,0,8.4455,0.00115562
46,1962,4,1962,0,3344,12.5,12.5,0,5.69694,3.2083e-05
