k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,67,11.1667,6.29623
1,6,67,136,11.5,5.89362
2,12,136,199,10.5,6.16374
3,18,199,259,10,6.00073
4,24,259,329,11.6667,6.43496
5,30,329,395,11,7.12975
6,36,395,461,11,8.00223
7,42,461,533,12,7.56119
8,48,533,603,11.6667,6.6343
9,54,603,679,12.6667,8.07512
10,60,679,756,12.8333,8.57597
11,66,756,833,12.8333,8.39909
12,72,833,902,11.5,7.43027
13,78,902,976,12.3333,8.04617
14,84,976,1052,12.6667,7.84016
15,90,1052,1127,12.5,7.42865
16,96,1127,1199,12,7.1845
17,102,1199,1272,12.1667,7.30813
18,108,1272,1344,12,7.58555
19,114,1344,1419,12.5,8.94284
20,120,1419,1495,12.6667,7.85156
21,126,1495,1567,12,7.14588
22,132,1567,1640,12.1667,7.04947
23,138,1640,1715,12.5,7.31062
24,144,1715,1790,12.5,7.28592
25,150,1790,1864,12.3333,6.65583
26,156,1864,1939,12.5,6.98983
27,162,1939,2010,11.8333,6.86373
28,168,2010,2083,12.1667,7.26452
29,174,2083,2158,12.5,7.9482
30,180,2158,2231,12.1667,8.36918
31,186,2231,2306,12.5,7.98491
32,192,2306,2380,12.3333,7.88852
33,198,2380,2454,12.3333,8.75012
34,204,2454,2525,11.8333,7.98381
35,210,2525,2598,12.1667,8.07028
36,216,2598,2671,12.1667,7.06269
37,222,2671,2746,12.5,7.05929
38,228,2746,2824,13,7.04595
39,234,2824,2900,12.6667,7.24671
40,240,2900,2976,12.6667,7.72895
41,246,2976,3050,12.3333,8.64279
42,252,3050,3123,12.1667,8.88558
43,258,3123,3196,12.1667,8.19623
44,264,3196,3270,12.3333,8.30722
45,270,3270,3344,12.3333,8.4455
46,276,3344,3394,12.5,5.69694
