k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,286,280,282,4,0,12.1667,,,8.68242,12.2894
1,292,274,288,4,73,13,12.1667,0.833333,8.62074,11.8346
2,298,268,294,4,151,12.6667,12.6667,0,10.7271,11.6966
3,304,262,300,4,227,12.6667,13.1667,-0.5,10.3312,10.9426
4,310,256,306,4,303,12.5,12.6667,-0.166667,9.75425,10.3935
5,316,250,312,4,378,13,13,0,10.076,10.0283
6,322,244,318,4,456,13.3333,12.8333,0.5,10.5351,9.32823
7,328,238,324,4,536,13.3333,13.1667,0.166667,8.70033,8.73562
8,334,232,330,4,616,12.8333,13,-0.166667,7.40212,8.6328
9,340,226,336,4,693,12.6667,12.3333,0.333333,8.23787,8.08286
10,346,220,342,4,769,12.1667,11.6667,0.5,7.19223,7.65454
11,352,214,348,4,842,11.8333,11.6667,0.166667,7.27119,7.29883
12,358,208,354,4,913,11.6667,11.3333,0.333333,7.51062,6.91629
13,364,202,360,4,983,11.3333,11.5,-0.166667,7.12508,6.40155
14,370,196,366,4,1051,11.6667,11.6667,0,6.50831,6.04052
15,376,190,372,4,1121,11.5,11.8333,-0.333333,6.52682,5.60712
16,382,184,378,4,1190,12,12,0,6.66358,5.36629
17,388,178,384,4,1262,12.1667,12.3333,-0.166667,6.09367,4.95101
18,394,172,390,4,1335,12,11.8333,0.166667,7.001,4.64805
19,400,166,396,4,1407,11.8333,12,-0.166667,7.03032,4.26294
20,406,160,402,4,1478,11.8333,11.6667,0.166667,7.37462,3.95268
21,412,154,408,4,1549,12.3333,12,0.333333,8.07854,3.6783
22,418,148,414,4,1623,12,12.1667,-0.166667,7.21162,3.33686
23,424,142,420,4,1695,12.3333,12.1667,0.166667,7.12958,3.07473
24,430,136,426,4,1769,12.1667,12.1667,0,7.3974,2.78745
25,436,130,432,4,1842,12,11.6667,0.333333,8.56071,2.5601
26,442,124,438,4,1914,11.8333,12,-0.166667,7.65227,2.39024
27,448,118,444,4,1985,12.1667,12.1667,0,7.21224,2.08544
28,454,112,450,4,2058,12,12,0,7.31575,1.8932
29,460,106,456,4,2130,11.3333,11.5,-0.166667,8.41304,1.62899
30,466,100,462,4,2198,11.6667,11.6667,0,8.30992,1.49312
31,472,94,468,4,2268,12,11.6667,0.333333,8.66744,1.24429
32,478,88,474,4,2340,11.8333,12,-0.166667,8.00273,1.12854
33,484,82,480,4,2411,12,12.1667,-0.166667,7.9709,0.949238
34,490,76,486,4,2483,12.1667,12.1667,0,7.60249,0.793479
35,496,70,492,4,2556,12.1667,12.1667,0,7.53519,0.644548
36,502,64,498,4,2629,12,12.1667,-0.166667,7.67027,0.539014
37,508,58,504,4,2701,12,12,0,8.13107,0.42432
38,514,52,510,4,2773,12,12,0,7.99125,0.332404
39,520,46,516,4,2845,11.6667,11.8333,-0.166667,7.80408,0.242549
40,526,40,522,4,2915,12.1667,12,0.166667,7.60308,0.1693
41,532,34,528,4,2988,11.8333,12,-0.166667,7.40715,0.110071
42,538,28,534,4,3059,12.1667,11.8333,0.333333,7.35757,0.065963
43,544,22,534,10,3132,12,11.8333,0.166667,7.42927,0.0321583
44,550,16,546,4,3204,11.8333,11.8333,0,7.26991,0.0102605
45,556,10,552,4,3275,11.8333,11.8333,0,7.13398,0.00222675
46,562,4,558,4,3346,12,12,0,4.95637,6.9125e-05
