k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,1344,168,1344,0,0,11.6667,,,7.7341,0.12959
1,1350,162,1350,0,70,14.5,12.5,2,13.7015,0.122964
2,1356,156,1356,0,157,12.5,12.5,0,8.23713,0.0993223
3,1362,150,1362,0,232,12,12,0,8.65029,0.0983623
4,1368,144,1368,0,304,11.6667,12.8333,-1.16667,7.66025,0.0758925
5,1374,138,1374,0,374,11.5,11.5,0,7.70489,0.0685721
6,1380,132,1380,0,443,11.3333,11.3333,0,7.08764,0.0650565
7,1386,126,1386,0,511,12.6667,12.1667,0.5,8.13245,0.0574862
8,1392,120,1392,0,587,12.1667,12,0.166667,7.61303,0.0512411
9,1398,114,1398,0,660,11.8333,11.8333,0,7.33966,0.0462561
10,1404,108,1404,0,731,12.1667,11.6667,0.5,7.11095,0.0436888
11,1410,102,1410,0,804,11.3333,11.8333,-0.5,6.81953,0.0379967
12,1416,96,1416,0,872,12,11.6479,0.352083,7.1369,0.031909
13,1422,90,1422,0,944,11.1667,12.1667,-1,5.69059,0.0278765
14,1428,84,1428,0,1011,11.1667,11.1667,0,5.63417,0.0252491
15,1434,78,1434,0,1078,11.2889,11.2889,0,5.91216,0.0207265
16,1440,72,1440,0,1145.73,12.0378,10.7111,1.32663,7.86192,0.0178167
17,1446,66,1446,0,1217.96,10.2763,12.0067,-1.73045,5.35388,0.0154607
18,1452,60,1452,0,1279.62,10.7305,10.7305,0,5.88366,0.0120272
19,1458,54,1458,0,1344,9,10.3333,-1.33333,4.36132,0.00986875
20,1464,48,1464,0,1398,12,12,0,9.53218,0.00799046
21,1470,42,1470,0,1470,11.3333,12.1667,-0.833333,6.37641,0.00582763
22,1476,36,1476,0,1538,12,12,0,6.97142,0.00449113
23,1482,30,1482,0,1610,12.1992,12.1667,0.0324911,7.77359,0.00274071
24,1488,24,1488,0,1683.19,11.6342,11.9675,-0.333333,7.03913,0.00166754
25,1494,18,1494,0,1753,11.5795,11.5795,0,6.00925,0.000975208
26,1500,12,1500,0,1822.48,11.2538,11.0249,0.228921,6.47737,0.000384
27,1506,6,1506,0,1890,10.7831,10.7831,0,5.01072,8.3625e-05
