k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,8.22893
1,6,74.9495,146,11.8418,8.60326
2,12,146,223,12.8333,9.99762
3,18,223,298.539,12.5899,7.40651
4,24,298.539,373.489,12.4916,8.26847
5,30,373.489,448,12.4185,7.39794
6,36,448,522,12.3333,6.85124
7,42,522,597,12.5,6.59733
8,48,597,669,12,6.53724
9,54,669,740,11.8333,6.64486
10,60,740,812,12,7.05533
11,66,812,883.648,11.9414,6.18595
12,72,883.648,958,12.3919,7.23976
13,78,958,1033,12.5,7.87991
14,84,1033,1104,11.8333,7.20338
15,90,1104,1182.44,13.0735,8.53412
16,96,1182.44,1257,12.4265,7.50907
17,102,1257,1332,12.5,7.68792
18,108,1332,1413,13.5,9.84726
19,114,1413,1488,12.5,7.643
20,120,1488,1564,12.6667,7.97887
21,126,1564,1638,12.3333,7.97081
22,132,1638,1707,11.5,6.7238
23,138,1707,1776.38,11.5636,6.5524
24,144,1776.38,1848,11.9364,7.1475
25,150,1848,1919,11.8333,6.71508
26,156,1919,1990,11.8333,6.7938
27,162,1990,2061,11.8333,6.13092
28,168,2061,2136,12.5,7.03889
29,174,2136,2209,12.1667,7.47525
30,180,2209,2280,11.8333,6.98796
31,186,2280,2351,11.8333,7.03783
32,192,2351,2419,11.3333,6.28576
33,198,2419,2488,11.5,7.13069
34,204,2488,2556,11.3333,6.70567
35,210,2556,2626,11.6667,6.7594
36,216,2626,2698,12,6.51831
37,222,2698,2770,12,6.17925
38,228,2770,2843,12.1667,6.89945
39,234,2843,2914,11.8333,6.36481
40,240,2914,2987,12.1667,6.57495
41,246,2987,3058,11.8333,7.44283
42,252,3058,3129,11.8333,7.67159
43,258,3129,3204,12.5,8.21178
44,264,3204,3274,11.6667,7.24989
45,270,3274,3346,12,7.48205
46,276,3346,3393.55,11.8872,4.74941
