k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,76,12.6667,8.58346
1,6,76,150,12.3333,9.5386
2,12,150,222,12,8.26153
3,18,222,297,12.5,7.14096
4,24,297,369,12,7.33815
5,30,369,441,12,6.66206
6,36,441,515,12.3333,7.39692
7,42,515,591,12.6667,6.91621
8,48,591,663,12,6.43669
9,54,663,736,12.1667,7.20044
10,60,736,809,12.1667,7.38118
11,66,809,882,12.1667,6.56783
12,72,882,955,12.1667,6.82045
13,78,955,1025,11.6667,6.95539
14,84,1025,1095,11.6667,7.45616
15,90,1095,1168,12.1667,6.93366
16,96,1168,1240,12,6.83921
17,102,1240,1313,12.1667,7.35665
18,108,1313,1385,12,7.15709
19,114,1385,1458,12.1667,7.24771
20,120,1458,1531,12.1667,7.26178
21,126,1531,1602,11.8333,7.09831
22,132,1602,1673,11.8333,7.51988
23,138,1673,1745,12,7.45047
24,144,1745,1817,12,7.28513
25,150,1817,1890,12.1667,7.22207
26,156,1890,1962,12,7.25616
27,162,1962,2035,12.1667,6.77701
28,168,2035,2110,12.5,7.3942
29,174,2110,2183,12.1667,7.68656
30,180,2183,2256,12.1667,7.80374
31,186,2256,2329,12.1667,7.64644
32,192,2329,2402,12.1667,7.72575
33,198,2402,2472,11.6667,7.65823
34,204,2472,2542,11.6667,7.3996
35,210,2542,2614,12,7.49347
36,216,2614,2688,12.3333,7.12278
37,222,2688,2762,12.3333,6.7434
38,228,2762,2836,12.3333,7.24135
39,234,2836,2910,12.3333,7.19791
40,240,2910,2985,12.5,7.12626
41,246,2985,3057,12,7.73972
42,252,3057,3128,11.8333,7.67179
43,258,3128,3201,12.1667,7.37699
44,264,3201,3273,12,7.34972
45,270,3273,3346,12.1667,7.79225
46,276,3346,3394,12,4.88449
