k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,70,11.6667,6.61265
1,6,70,138,11.3333,7.24594
2,12,138,208,11.6667,7.64324
3,18,208,284,12.6667,7.48358
4,24,284,357,12.1667,7.46134
5,30,357,430,12.1667,6.95259
6,36,430,503,12.1667,7.23144
7,42,503,578,12.5,6.60257
8,48,578,650,12,6.24385
9,54,650,723,12.1667,7.33793
10,60,723,795,12,7.12031
11,66,795,869,12.3333,6.87895
12,72,869,943,12.3333,7.04706
13,78,943,1014,11.8333,7.31619
14,84,1014,1084,11.6667,7.30899
15,90,1084,1157,12.1667,7.01014
16,96,1157,1229,12,6.89364
17,102,1229,1301,12,6.98446
18,108,1301,1373,12,7.20758
19,114,1373,1446,12.1667,7.11245
20,120,1446,1519,12.1667,7.27985
21,126,1519,1591,12,7.37452
22,132,1591,1661,11.6667,7.16743
23,138,1661,1733,12,7.49864
24,144,1733,1805,12,7.20814
25,150,1805,1878,12.1667,7.14011
26,156,1878,1950,12,7.24677
27,162,1950,2024,12.3333,7.12102
28,168,2024,2101,12.8333,7.99025
29,174,2101,2174,12.1667,7.64665
30,180,2174,2247,12.1667,7.88092
31,186,2247,2320,12.1667,7.64644
32,192,2320,2393,12.1667,7.78198
33,198,2393,2465,12,8.13184
34,204,2465,2535,11.6667,7.32171
35,210,2535,2606,11.8333,7.26242
36,216,2606,2680,12.3333,7.19807
37,222,2680,2755,12.5,6.85475
38,228,2755,2828,12.1667,6.94668
39,234,2828,2901,12.1667,6.73768
40,240,2901,2974,12.1667,6.56589
41,246,2974,3047,12.1667,7.81731
42,252,3047,3118,11.8333,7.75771
43,258,3118,3190,12,7.12913
44,264,3190,3266,12.6667,8.81746
45,270,3266,3342,12.6667,8.61619
46,276,3342,3393,12.75,5.85945
