k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,79,13.1667,8.48777
1,6,79,149.899,11.8165,7.23814
2,12,149.899,220,11.6835,8.27932
3,18,220,298,13,8.83026
4,24,298,373,12.5,8.12526
5,30,373,445,12,7.82723
6,36,445,517,12,7.89529
7,42,517,592,12.5,7.64341
8,48,592,664,12,7.27228
9,54,664,734,11.6667,7.52958
10,60,734,808.699,12.4498,7.43332
11,66,808.699,883,12.3835,6.14256
12,72,883,961,13,8.35734
13,78,961,1033.55,12.0912,7.3829
14,84,1033.55,1107,12.2421,7.64875
15,90,1107,1178,11.8333,6.47057
16,96,1178,1249,11.8333,6.59311
17,102,1249,1320,11.8333,6.33641
18,108,1320,1392,12,7.12263
19,114,1392,1466,12.3333,7.23491
20,120,1466,1538,12,7.01687
21,126,1538,1610,12,6.6985
22,132,1610,1680,11.6667,6.48715
23,138,1680,1751,11.8333,6.74318
24,144,1751,1826,12.5,7.48205
25,150,1826,1899,12.1667,7.39062
26,156,1899,1961,10.3333,4.53149
27,162,1961,2035,12.3333,8.10014
28,168,2035,2111,12.6667,8.36352
29,174,2111,2184,12.1667,6.95112
30,180,2184,2251,11.1667,6.23631
31,186,2251,2319,11.3333,6.85887
32,192,2319,2394,12.5,8.08223
33,198,2394,2468,12.3333,7.7504
34,204,2468,2545,12.8333,8.43528
35,210,2545,2621,12.6667,6.47366
36,216,2621,2695,12.3333,6.70501
37,222,2695,2770,12.5,7.35876
38,228,2770,2839,11.5,5.22142
39,234,2839,2912,12.1667,6.11919
40,240,2912,2985,12.1667,6.72179
41,246,2985,3070,14.1667,11.7462
42,252,3070,3137,11.1667,6.94329
43,258,3137,3205,11.3333,6.5844
44,264,3205,3275,11.6667,6.92084
45,270,3275,3346,11.8333,7.13069
46,276,3346,3393.55,11.8872,4.81995
