k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74,12.3333,6.96411
1,6,74,144,11.6667,6.88148
2,12,144,209,10.8333,6.57811
3,18,209,282,12.1667,7.68918
4,24,282,353,11.8333,7.5558
5,30,353,424,11.8333,8.21647
6,36,424,498,12.3333,8.90237
7,42,498,574,12.6667,7.98351
8,48,574,648,12.3333,7.82862
9,54,648,720,12,8.1495
10,60,720,795,12.5,7.80058
11,66,795,873,13,7.31688
12,72,873,945,12,7.01139
13,78,945,1017,12,7.14911
14,84,1017,1087,11.6667,6.73566
15,90,1087,1161,12.3333,7.42332
16,96,1161,1234,12.1667,7.13948
17,102,1234,1308,12.3333,7.19275
18,108,1308,1377,11.5,6.29558
19,114,1377,1448,11.8333,6.41873
20,120,1448,1515,11.1667,5.57761
21,126,1515,1585,11.6667,6.38906
22,132,1585,1657,12,7.16641
23,138,1657,1726,11.5,6.26524
24,144,1726,1796,11.6667,6.3877
25,150,1796,1866,11.6667,6.77005
26,156,1866,1940,12.3333,7.90192
27,162,1940,2010,11.6667,6.9765
28,168,2010,2081,11.8333,6.91299
29,174,2081,2155,12.3333,7.77928
30,180,2155,2225,11.6667,7.64833
31,186,2225,2296,11.8333,7.5001
32,192,2296,2366,11.6667,6.92619
33,198,2366,2442,12.6667,8.43549
34,204,2442,2513,11.8333,7.111
35,210,2513,2588,12.5,6.77405
36,216,2588,2662,12.3333,6.7171
37,222,2662,2740,13,8.24381
38,228,2740,2818,13,7.6686
39,234,2818,2895,12.8333,7.09801
40,240,2895,2971,12.6667,7.4683
41,246,2971,3046,12.5,8.63758
42,252,3046,3120,12.3333,9.39402
43,258,3120,3195,12.5,8.77429
44,264,3195,3269,12.3333,8.06056
45,270,3269,3344,12.5,8.39767
46,276,3344,3394,12.5,5.59355
