k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,566,280,564,2,0,13.3333,,,9.65512,18.966
1,572,274,570,2,80,12.6667,13,-0.333333,8.38256,17.9196
2,578,268,576,2,156,12.3333,12.3333,0,8.80304,17.1409
3,584,262,582,2,230,12.8333,12.6667,0.166667,8.21798,403.508
4,590,256,588,2,307,12.6667,12.8333,-0.166667,8.60702,15.3039
5,596,250,594,2,383,12.5,12.6667,-0.166667,8.73297,14.7642
6,602,244,600,2,458,12.1667,12.1667,0,8.51486,13.9795
7,608,238,606,2,531,12.8333,12.8333,0,8.01179,13.3678
8,614,232,612,2,608,11.8333,12.5,-0.666667,5.73579,12.7141
9,620,226,618,2,679,11.6667,11.8333,-0.166667,5.96483,11.9384
10,626,220,624,2,749,11.5,11.3333,0.166667,6.23155,739.786
11,632,214,630,2,818,12.1667,11.3333,0.833333,7.87832,10.4885
12,638,208,636,2,891,12.5,12.8333,-0.333333,8.56283,9.97957
13,644,202,642,2,966,12.8333,12.6667,0.166667,8.21902,9.5026
14,650,196,648,2,1043,12.1667,12,0.166667,7.67778,8.99095
15,656,190,654,2,1116,11.8333,11.8333,0,7.82764,8.47998
16,662,184,660,2,1187,11.8333,12,-0.166667,6.36251,7.94212
17,668,178,666,2,1258,12.1667,12,0.166667,6.44627,7.36491
18,674,172,672,2,1331,11.8333,11.8333,0,6.42102,6.92271
19,680,166,678,2,1402,11.6667,11.6667,0,7.02635,6.47436
20,686,160,684,2,1472,11.6667,11.6667,0,7.18692,6.19969
21,692,154,690,2,1542,12,11.8333,0.166667,6.86356,5.79244
22,698,148,696,2,1614,11.8333,11.8333,0,6.39752,5.01542
23,704,142,702,2,1685,12,11.8333,0.166667,6.36366,4.34623
24,710,136,708,2,1757,12,12.1667,-0.166667,6.46835,4.18036
25,716,130,714,2,1829,12.5,12.3333,0.166667,6.87342,3.59491
26,722,124,720,2,1904,12,12,0,6.22982,3.40737
27,728,118,726,2,1976,12.3333,12.1667,0.166667,6.78599,2.98799
28,734,112,726,8,2050,12.8333,12.8333,0,8.36453,2.82806
29,740,106,726,14,2127,12,12.8333,-0.833333,6.8796,1071.34
30,746,100,726,20,2199,12.3333,12,0.333333,8.20132,2.23907
31,752,94,726,26,2273,11.5,11.6667,-0.166667,6.60178,2.0826
32,758,88,726,32,2342,11.6667,12,-0.333333,6.96927,1075
33,764,82,762,2,2412,11.8333,12,-0.166667,6.44125,1.68554
34,770,76,768,2,2483,11.6667,11.6667,0,6.1241,1.5523
35,776,70,774,2,2553,12.1667,12.1667,0,7.44598,1.04274
36,782,64,780,2,2626,12,12,0,7.79915,0.901124
37,788,58,786,2,2698,11.8333,11.8333,0,8.76136,0.713488
38,794,52,792,2,2769,12,12.1667,-0.166667,8.79151,0.572229
39,800,46,798,2,2841,12.3333,12.3333,0,8.90757,0.478504
40,806,40,804,2,2915,11.8333,12,-0.166667,7.17722,0.357867
41,812,34,810,2,2986,12,12,0,6.94597,0.255319
42,818,28,816,2,3058,12,12,0,6.7342,0.160134
43,824,22,822,2,3130,12,12,0,7.20795,0.0871968
44,830,16,828,2,3202,12,12,0,7.19675,0.039238
45,836,10,834,2,3274,12,12,0,7.08797,0.00706508
46,842,4,840,2,3346,11.75,11.75,0,4.42787,0.000213916
