k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,74.9495,12.4916,9.34746
1,6,74.9495,149.899,12.4916,9.2235
2,12,149.899,226,12.6835,8.48491
3,18,226,301,12.5,8.26617
4,24,301,375.939,12.4899,7.76426
5,30,375.939,450.889,12.4916,8.36567
6,36,450.889,526,12.5185,8.02647
7,42,526,601,12.5,7.06177
8,48,601,675,12.3333,7.10438
9,54,675,746,11.8333,7.57841
10,60,746,811,10.8333,6.12805
11,66,811,876,10.8333,6.92848
12,72,876,944,11.3333,6.71114
13,78,944,1011.15,11.1917,6.04033
14,84,1011.15,1070,9.80835,3.94811
15,90,1070,1145,12.5,7.11753
16,96,1145,1215,11.6667,6.50458
17,102,1215,1289.93,12.4885,8.18124
18,108,1289.93,1363.83,12.3164,8.26098
19,114,1363.83,1423.79,9.99326,5.06171
20,120,1423.79,1483.75,9.99326,5.53861
21,126,1483.75,1543.71,9.99326,5.51045
22,132,1543.71,1603.67,9.99326,4.73443
23,138,1603.67,1664,10.0553,4.80116
24,144,1664,1729,10.8333,5.14158
25,150,1729,1806,12.8333,8.74005
26,156,1806,1881,12.5,8.44254
27,162,1881,1954.03,12.1724,8.49682
