k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,72,12,8.34311
1,6,72,145,12.1667,8.57183
2,12,145,222,12.8333,8.68369
3,18,222,297,12.5,8.56455
4,24,297,373,12.6667,8.09458
5,30,373,449,12.6667,8.73268
6,36,449,527,13,8.97645
7,42,527,601,12.3333,7.41982
8,48,601,676,12.5,8.50715
9,54,676,749,12.1667,8.04107
10,60,749,821,12,8.26649
11,66,821,891,11.6667,8.43565
12,72,891,964,12.1667,9.00842
13,78,964,1033,11.5,6.20932
14,84,1033,1102,11.5,6.21878
15,90,1102,1171,11.5,7.21966
16,96,1171,1242,11.8333,7.07239
17,102,1242,1314,12,7.37571
18,108,1314,1382,11.3333,6.4882
19,114,1382,1449,11.1667,6.99971
20,120,1449,1517,11.3333,7.39181
21,126,1517,1583,11,6.59355
22,132,1583,1651,11.3333,6.61926
23,138,1651,1718,11.1667,5.82463
24,144,1718,1784,11,5.06547
25,150,1784,1840,9.33333,4.01778
26,156,1840,1898,9.66667,3.78762
27,162,1898,1954,9.33333,3.85978
