k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,62,10.3333,7.55264
1,6,62,121,9.83333,6.94019
2,12,121,184,10.5,6.21569
3,18,184,245,10.1667,6.55388
4,24,245,305,10,5.95879
5,30,305,368,10.5,6.9628
6,36,368,437,11.5,8.37445
7,42,437,505,11.3333,5.86994
8,48,505,570,10.8333,6.17559
9,54,570,642,12,8.51191
10,60,642,719,12.8333,8.83917
11,66,719,794,12.5,8.04709
12,72,794,868,12.3333,8.10383
13,78,868,942,12.3333,7.86187
14,84,942,1016,12.3333,8.54132
15,90,1016,1087,11.8333,7.26592
16,96,1087,1158,11.8333,7.9457
17,102,1158,1226,11.3333,7.27095
18,108,1226,1300,12.3333,9.24698
19,114,1300,1369,11.5,7.50539
20,120,1369,1440,11.8333,7.81359
21,126,1440,1514,12.3333,7.15297
22,132,1514,1584,11.6667,7.87068
23,138,1584,1662,13,12.2656
24,144,1662,1742,13.3333,14.1272
25,150,1742,1810,11.3333,8.33188
26,156,1810,1882,12,8.80656
27,162,1882,1954,12,9.81919
