k,t_h,d_start,d_end,sog_kn,fuel_mt
0,0,0,49.9663,8.32772,4.54228
1,6,49.9663,101,8.50561,4.86309
2,12,101,161,10,5.73
3,18,161,221,10,6.01127
4,24,221,286,10.8333,6.51078
5,30,286,356,11.6667,8.1109
6,36,356,430.902,12.4837,10.4168
7,42,430.902,506,12.5163,8.11497
8,48,506,571,10.8333,5.69802
9,54,571,631,10,5.54348
10,60,631,697,11,6.39985
11,66,697,771,12.3333,7.38988
12,72,771,841,11.6667,7.03563
13,78,841,906,10.8333,5.38358
14,84,906,981,12.5,8.4234
15,90,981,1050,11.5,6.83523
16,96,1050,1125,12.5,9.12706
17,102,1125,1200,12.5,9.17317
18,108,1200,1272,12,8.53544
19,114,1272,1348,12.6667,9.71048
20,120,1348,1422,12.3333,8.91397
21,126,1422,1496,12.3333,7.15424
22,132,1496,1568,12,8.18204
23,138,1568,1643,12.5,11.7778
24,144,1643,1714,11.8333,10.885
25,150,1714,1796,13.6667,10.9519
26,156,1796,1866,11.6667,8.26888
27,162,1866,1954.03,14.6724,15.8785
